title,verdict,verdict_confidence,platform,author,old_clue,reader_synopsis,official_blurb,trope_tags,identity_note,source_report,ingested_at
仙灵妖神记,钉死,高,阅文体系,紫薇大帝,缺官方简介,这是一本偏洪荒流、鲲鹏视角的仙侠文。开篇是现代人“张开”穿进洪荒，直接成了鲲鹏老祖，随后围绕龙凤麒麟三族、鸿钧、应龙等神话框架往下铺。它不是常见“凡人修仙”路数，更像拿洪荒设定做再演绎，重点在族群格局、神话人物重塑和鲲鹏形象翻案。,公开检索到的是书页与章节页，**未抓到完整官方简介**；可确认题名、作者与正文一致。,洪荒流、鲲鹏主角、古典仙侠、神话再演绎,这本不是《妖神记》，也不是蹭“妖神记”的题名噪声。QQ 阅读给出**完整题名+作者紫薇大帝**，章节镜像又能落到同一本正文里，人物、世界观和更新时间链条是连着的。最早待核点是“缺官方简介”，但书的身份本身并不摇晃。说白了，它的问题是资料残，不是认亲难。,identity_r01.md,2026-07-19T05:21:16+08:00
他从天外归来,钉死,中,起点体系,最后的茄子,缺官方简介;置信低;需认亲,主角李毅失踪三天，却在另一个高科技位面“生活了三千万年”，掌握碾压级科技后回到地球。故事走的是“超高位归来”路线，但不是纯都市装杯，核心卖点是把科技、修炼、神怪揉在一起：工人、农民、武林高手、修士乃至神仙妖怪，都得被“科技才是第一生产力”这套逻辑重新教育。,`“三天前，李毅突然神秘失踪……”`（节录）,都市异能、归来流、高科技碾压、灵气复苏混搭,这本最麻烦的地方在于，我没抓到能直接打开的官方起点书页。好消息是，公开面上“最后的茄子+他从天外归来”的组合非常稳定，且 qidiantu 明示它来自“起点书评”，BookLink 也有独立书目与评论页，不像凭空拼出来的假条目。简介、主角名、题材标签在多个索引之间基本对得上。我因此倾向判为**真实存在且归属起点体系**，但因为官方原页缺位，把握我只给中。,identity_r01.md,2026-07-19T05:21:16+08:00
仙子，请听我解释,钉死,高,起点中文网,弥天大厦,需认亲,这本的关键不是“有没有书”，而是**旧名/新名切换**。搜索“仙子，请听我解释”时，阅文系结果会直接落到《望长天》，作者同为弥天大厦。故事是朝堂、仙门、乱世权谋混一锅：皇帝病危、太子监国、地方仙门盘踞，主角许元从雨夜破庙起步，逐渐卷进更大的局。它并非现代恋爱轻喜剧那本同名作品。,现书页《望长天》简介起首为：`“大炎皇朝国祚一千三百余年……”`（节录）,改名书、仙侠权谋、王朝修仙、群像布局,同名坑点很大，因为现在公开面上还存在一本**现代都市轻喜剧同人向**的《仙子，请听我解释！》。但阅文搜索“仙子请听我解释”会导向《望长天》，而作者正是弥天大厦；另有起点书单页面仍把“仙子，请听我解释”列作弥天大厦名下作品。也就是说，这本待核条目本质上是**旧书名认亲**，不是“根本没这本书”。所以这里该钉死到《望长天》，而不是误认到别的同名新书。,identity_r01.md,2026-07-19T05:21:16+08:00
亮剑：从得到装备栏开始,钉死,高,起点中文网,我更还不成吗,没找到;缺官方简介;置信低,这本是标准“亮剑同人+系统装备栏”路线。主角魏勇穿进《亮剑》平行世界，靠装备栏系统叠技能、堆战力，从侦查、体能到火力一路外挂化，然后把抗战场景打成带装备词条的爽文副本。简介里把“抗战救亡、大国崛起、民族复兴”都摆出来了，说明它不是只玩梗，而是明确走热血抗战升级流。,`“魏勇一觉醒来，发现自己穿越《亮剑》平行世界。”`（节录）,亮剑同人、抗战烽火、系统流、装备栏、爽文,这本并不是“没找到”，而是普通搜索容易被《亮剑》原著和大量亮剑同人淹掉。只要落到起点军事镜像页，题名、作者、分类、简介、章节都齐全。和《亮剑：蓝星工业杀疯了》也不是同一本，作者、主角、外挂机制都不同。这个条目现在可以直接出库，不需要继续悬着。,identity_r01.md,2026-07-19T05:21:16+08:00
亮剑：蓝星工业杀疯了,钉死,高,起点中文网,白担心,没找到;缺官方简介;置信低,主角高远的卖点，不是个人战力，而是把现代工业和军火体系直接灌进《亮剑》世界。书里从步枪、坦克一路抬到飞行和更高工业层级，等于把“抗战同人”往“大国军工爽文”方向推。李云龙继续负责强烈情绪输出，主角负责把蓝星工业当外挂往里塞。,`“背靠蓝星工业，军火支援革命先辈。”`（节录）,亮剑同人、军工流、双时空感、抗战爽文、工业强军,这本和上一条一样，也是被大量“亮剑同人”冲掉的典型。官方镜像已经给出**作者白担心、字数、状态和完整简介**，身份不虚。待核时说“没找到”，主要是因为直接搜题名时，搜索结果很容易先冒出各类章节搬运或同题材书。现在链路已经够稳，可以钉死。,identity_r01.md,2026-07-19T05:21:16+08:00
修仙百年，前任都成了天命之女,钉死,高,起点中文网,爱吃肘子的小郎君,没找到;缺官方简介,书的核心是一句很网文的话：主角顾诚只想修仙求长生，结果自己早年的“前任们”一个个都成了剑圣、圣女、妖族公主、女帝，然后集体回来找他清账。它本质是“修仙后宫债主上门”的反向展开，偏轻快、偏修罗场，也带点玩梗式自嘲。简介本身已经把主要冲突讲得很明白。,`“穿越到修仙世界，成为长生门少主……”`（节录）,修仙轻喜、前任修罗场、男频感情线、幻想修仙,这本待核难点不在身份，而在早期搜索确实容易被长标题小说海淹没。现在起点镜像页已经把作者、分类、章节和简介全给出来了。没有发现同名不同作者的强冲突项，也不是题名噪声。可以直接按**起点｜爱吃肘子的小郎君**入库。,identity_r01.md,2026-07-19T05:21:16+08:00
修仙，我能穿越异世界,钉死,高,起点中文网,蒙面怪客,没找到;缺官方简介,这是“修仙+异世界穿梭”组合拳。主角既在修仙世界修行，也借穿越能力去别的世界找资源、补体系、打信息差。作者蒙面怪客本身在仙侠线有辨识度，所以整体不是逗趣风，而是更偏稳、偏修行推进和世界观切换。书页显示已经完结，身份链非常清楚。,`“诸天万界，亿万众生踏上修行路……”`（节录）,诸天穿梭、修真文明、资源流、双世界修行,这本搜索时会被一堆“我能穿越”“异世界修仙”近似题名干扰，但只要题名完整输入，阅文侧指向很稳。起点镜像页明确写了**蒙面怪客**、分类“修真文明”和完结状态。不存在同名作者冲突，也不是别称。可以钉死。,identity_r01.md,2026-07-19T05:21:16+08:00
倾城欢,钉死,中,17K小说网,狐晚,缺官方简介;置信低,这是偏古言/架空历史线的长篇。设定上有前世今生：前生一狐一僧，今生则转成南宫飞燕与宫廷权力场的故事，既有情债，也有身世与宫闱推进。书的题名不算独一份，但“狐晚+倾城欢”在 17K、四月天与作者荣誉页上能对上，属于能认回去的一本。,`“前生她是刚刚修炼还不懂事故的小狐妖……”`（节录）,古言、前世今生、架空历史、宫闱权谋,这本同名项不少，所以单看“倾城欢”确实容易飘。可一旦把作者锁到**狐晚**，17K 作者中心、章节页、四月天作者页都会回到同一部作品。QQ 阅读也有收录页，说明它不是只有盗站痕迹。最关键的是，简介起首在 17K 标签页和四月天检索页能互相印证，所以我给“钉死｜中”。,identity_r01.md,2026-07-19T05:21:16+08:00
兵者,钉死,中,起点中文网,七品,没找到;缺官方简介;需认亲,这是七品的军事题材作品，走硬派热血路。公开索引里的简介非常短促、非常“七品”——兵性如狼、兵中有人、精忠报国，主打军旅血性和男性向燃感。从外围资料看，它属于七品“兵者/兵王”题材系谱里的后续作，而不是别人的借题名作品。,`“西北有兵，性如狼，暴若鹰……”`（节录）,军事文、军旅热血、硬派男频、阅文系,这本最麻烦的点是题名太短，天然撞词。搜索“兵者”会先炸出大量无关结果，所以待核时会误以为“没找到”。但中国作家网转载的专访明确说：七品“最新一本《兵者》”在“八一”首发；抖音百科进一步直接写成“七品所创作、连载于起点中文网”。两条线能合拢，说明它不是空条目。只是因为官方书页如今不易直达，所以把握我给中不拉满。,identity_r01.md,2026-07-19T05:21:16+08:00
养尸为祸,钉死,高,酷匠网,川野,没找到;缺官方简介;置信低,这是偏灵异怪谈的作品，主线从乱坟岗弃婴展开，一路往尸村、蛇蛊、神婆、厉鬼、千年不朽死尸这些元素上堆。它不是都市小白文那种“装神弄鬼”，而是很典型的旧派网文灵异味：地方怪谈、民俗邪术、因果循环、主角命格特殊，全都往一个人身上压。,`“刚出生就被丢弃在‘尸城’之称的乱坟岗……”`（节录）,灵异、鬼怪、民俗怪谈、湘西感、酷匠系,这本认亲反而不难，难的是你得搜到**酷匠**这条线。只要落到酷匠书页，题名、作者、简介直接齐。懒人听书和蜻蜓 FM 也都挂了“川野《养尸为祸》”，说明传播链存在。它不是“库外无源”，只是平台不在阅文系而已。,identity_r01.md,2026-07-19T05:21:16+08:00
