trial_id,source_title,source_part_name,target_title,borrow_types,borrow_success_note,borrow_dirty_note,demo_usage,arch_slot_candidate,mountability,trial_mode,ledger_kind,origin,authority,window_id,ingested_at
p2_w02_01,全职高手,,,,,,若借这块，别再造第二个叶修，纸面上更好的做法是把主角放到“名将身边的非核心位”，用他去看战队起势前的人事磨合、战术萌芽和规则磨损。前传最该借的是“体系未定、人物已热”的阶段感，不是冠军结果。把一个后来稳固的系统，写回它还会犯错、还会走弯路的时候，读者才有新鲜感。不要抢原作封神战，只借其“史前组织张力”。《全职高手：番外》｜蝴蝶蓝｜借了原世界观和角色前史/后日常｜成功点是延展情感账户；脏点同样是强依赖原作｜证据强；正版仿作。《全职高手之拿命打荣耀》｜盐水泡茶叶｜借了荣耀世界观和职业路线｜成功点是换主角位；脏点是容易走成“原著名场面重播”｜证据中；同人续写。《全职高手同人特别篇》｜秋风晚落叶｜借了君莫笑/苏沐橙切口｜成功点小而快；脏点薄｜证据弱；同人续写。《全职高手之与梦为伍》｜平台页直接标成蝴蝶蓝《全职高手》同人衍生小说｜借了雷霆战队视角｜成功点是从非第一主角战队切入；脏点是高度圈层化｜证据中；同人续写。另可见大量晋江同人如《电竞的竞和赛课的赛》《小船》，说明它的人物关系母型很能外溢。F 纸面检查项：调研建议，非已拍需求。真要借，优先借“低位重开”而不是“大神人设”。要把比赛写好，至少得先想清楚联赛规则、队伍财政、角色分工和训练关系。别把战队写成啦啦队，团队小说里最贵的就是队友不是摆设。自制武器这种东西能借，但必须和主角打法、资源稀缺、赛场应对绑死。还有一个坑，别把观众视角丢了，这类文必须让外行也能看明白为什么这一局值得激动。,,纸面only,paper_only,survey_not_ledger,deep_research,non_authoritative,p2_w02,2026-07-18T14:03:06+08:00
p2_w02_02,鬼吹灯,,,,,,若借这块，建议借“老队伍进入新遗迹”的熟手感，不要借老角色名字。让你的探险队先有成熟分工，再把他们丢进一处会击穿旧经验的新墓型。这样既有团队默契回报，也有规则更新压力。副本最好换民俗底板，不要换个地名继续精绝模板。真正能复用的是“专业老手遇上规则新题”。《鬼吹灯外传：楚幽王陵》｜着火的冰/相关页可核到为鬼吹灯同人｜借了老胡日常与外传地图｜成功点是外传切口轻；脏点是主线重感不足｜证据中；同人续写。《从盗墓开始的铁匠》｜贫道不戒财｜借了“人点烛，鬼吹灯”的探险口令与巨门副本感｜成功点是把盗墓结构接入更广副本世界；脏点是混搭过猛会稀释民俗感｜证据中；同人续写/正版衍生感弱。《盗墓从黄皮子坟开始》｜借花献佛｜借了鬼吹灯地图与人物入口｜成功点是从具体分卷切入；脏点是过度依赖名场面｜证据中；同人续写。《盗墓：从黄皮子坟开始的修仙日常》｜佑宅｜借了鬼吹灯+盗墓笔记混合壳｜成功点是跨书系拼接；脏点是很容易丢掉“专业倒斗”的扎实度｜证据中；同人续写。F 纸面检查项：调研建议，非已拍需求。借盗墓，最重要的不是墓，而是**下墓之前的知识准备**。规矩一定要先于奇观出现。副本地图要有一处独特民俗逻辑，不然就是换皮地宫。三人组很好借，但分工一定要明确，不要三个人都只会贫嘴。残缺知识比全知更值钱，因为悬疑就靠它。,,纸面only,paper_only,survey_not_ledger,deep_research,non_authoritative,p2_w02,2026-07-18T14:03:06+08:00
p2_w03_01,飘渺之旅,,,,,,对“强证据＋正版仿作”的《歧天路》，若作者要借，建议借的是“续集如何换主视角还保持大世界连续性”；不要再用李强式人格和原作名器；可以把续作主角改成原世界边角人物，让老规则负责熟悉感，新规则负责新鲜感；,,纸面only,paper_only,survey_not_ledger,deep_research,non_authoritative,p2_w03,2026-07-18T14:26:46+08:00
p2_w03_02,花千骨,,,,,,对“强证据＋正版仿作”的《仙侠奇缘之杀阡陌》，若作者要借，建议借的是“如何围绕副角色补世界缝隙”；别再复制白子画/小骨主线；可以选原世界中等级够高、情债够重、但原文戏份不足的人开新线；,,纸面only,paper_only,survey_not_ledger,deep_research,non_authoritative,p2_w03,2026-07-18T14:26:46+08:00
p2_w03_03,穿成男主白月光[快穿],,,,,,对“强证据＋正版仿作”的《穿成男二白月光[快穿]》，作者若要借，建议借的是“把任务协议的目标位阶换掉”；别每次都写男主；可以尝试“白月光对象是男二、反派、龙傲天、末世领袖”等；核心不是人物身份，而是**出现时点、退出时点、反噬时点**；,,纸面only,paper_only,survey_not_ledger,deep_research,non_authoritative,p2_w03,2026-07-18T14:26:46+08:00
p2_w03_04,洗铅华,,,,,,对“强证据＋正版仿作”的《荼蘼不争春》，作者若要借，建议借的是“同作者怎样把高位恶毒女配，改成低位丫鬟仍然成立”；也就是说，真正能复用的是**位阶焦虑＋求生驱动**；不是具体宫廷壳；,,纸面only,paper_only,survey_not_ledger,deep_research,non_authoritative,p2_w03,2026-07-18T14:26:46+08:00
p2_w03_05,欢迎来到噩梦游戏,,,,,,对“强证据＋正版仿作”的系列续作样本，作者若要借，建议借的是“单元副本怎么越写越大，还不把读者甩飞”；方法是前期把副本当技能测试，中期把副本当主线碎片，后期把副本当主线的反证；,,纸面only,paper_only,survey_not_ledger,deep_research,non_authoritative,p2_w03,2026-07-18T14:26:46+08:00
p2_w04_01,神医嫡女,,,,,,如果作者真要借《神医嫡女》这块，建议借“职业接口把家斗接到朝堂”的转场设计，不要借具体病种、药房设定和皇家婚约。可以把现代职业换成验尸、制香、账册、地图测绘，只要它能同时解决生存、立威、进阶三件事就行。前 20% 先只打通“职业＝护身”，中段再让职业变成“资源调度器”，后段才接大势力。,,纸面only,paper_only,survey_not_ledger,deep_research,non_authoritative,p2_w04,2026-07-18T15:44:24+08:00
p2_w04_02,杜拉拉升职记,,,,,,如果作者想借《杜拉拉》这块，建议只借“项目—汇报—晋升”的台阶模型。把外企换成医院、律所、MCN、游戏公司都行，但必须保留每个阶段对应一件具体工作，一次组织关系学习，一次自我认知修正。情感线可以有，但不能代替项目线。,,纸面only,paper_only,survey_not_ledger,deep_research,non_authoritative,p2_w04,2026-07-18T15:44:24+08:00
p2_w04_03,我有一座冒险屋,,,,,,如果作者要借《冒险屋》，先借“经营空间就是副本入口”这一个零件就够了。把鬼屋换成民宿、剧本馆、殡仪承接站、修车厂、旧书店都行，只要客人到来能同时触发生意和谜案。任务装置别写得太万能，它最好只给方向不给答案。副本结束必须回收一件可持续资产，不然经营线会死。,,纸面only,paper_only,survey_not_ledger,deep_research,non_authoritative,p2_w04,2026-07-18T15:44:24+08:00
