source_report,track,window,title,author,platform,prototype_why,skeleton_fingerprint,ledger_kind,origin,authority,body_verifiable,opening_hook_pattern,growth_rhythm,pleasure_engine_labels,promise_pattern_guess,payoff_pattern_guess,chapter_handoff_available,shared_explanation,borrow_type_tags,ingested_at
p2_w02_deep10.md,ST-002,p2_w02,放开那个女巫,二目,起点中文网,公开评论直接把它叫“西幻种田流的破局者”“经典之作”，核心是把中世纪西幻、女巫能力、工业化基建焊成一个稳定模板,,survey_not_ledger,deep_research,non_authoritative,未知,现代工程师穿到近似中世纪的王子身上，马上发现“女巫真实存在，而且真有魔力”，认知钩很清楚,边地落点→组织女巫→技术试产→势力扩盘→文明级冲突,基建验证、能力拆解、组织升级、秩序翻面,我能看见文明怎么一点点被造出来,每次技术落地都会改写人和权力的站位,否,它的强项不是单个奇观，而是每一次可见的生产升级都会让世界更可信,,2026-07-18T14:03:06+08:00
p2_w02_deep10.md,ST-002,p2_w02,全职高手,蝴蝶蓝,起点中文网,它是电竞题材最硬的一块公共模板，原因不是“比赛热血”这么简单，而是它把虚构游戏《荣耀》、职业联盟、战队协作、草根重启和同人工业一起做成了大体量 IP；中国作家网还明确提到它全网点击近百亿、是网络文学界首部“千盟书”，粉丝同人和广播剧衍生非常旺,,survey_not_ledger,deep_research,non_authoritative,未知,顶尖选手被俱乐部驱逐，去网吧当网管，在新区重新开号,低位回炉→新区起号→网游公会和挑战赛试错→队伍成形→职业赛场求证,专业细节、团队配合、旧王回归、战术博弈,看一个明明会赢的人，怎样从不能赢的处境里爬回来,冠军不是靠一人封神，而是靠体系和默契兑现,否,它最能借的不是叶修本人，而是“能力无须解释，处境必须重建”的回归结构,,2026-07-18T14:03:06+08:00
p2_w02_deep10.md,ST-002,p2_w02,知否？知否？应是绿肥红瘦,关心则乱,晋江文学城,光明日报/中国作家网直接把它放在女频史的关键拐点上，说它处于从“把老公当老板”到“追求势均力敌爱情”的重要转向；同时，它的家宅细节和等级秩序常被拿来和宅斗、家族文对比,,survey_not_ledger,deep_research,non_authoritative,未知,现代女性穿成古代庶女，起点不高还不想乱冲,闺阁观察→家宅求生→婚配抉择→侯门经营,人情拆解、礼法博弈、慢热成长、关系治理,看一个底盘不高的人怎么在高规训世界活得稳、活得有尊严,不是斗赢所有人，而是一步步站到自己能做主的位置,否,它最能借的是“低声量、高精度”的长期生存节奏,,2026-07-18T14:03:06+08:00
p2_w02_deep10.md,ST-002,p2_w02,人渣反派自救系统,墨香铜臭,晋江文学城,它是“穿书反派自救”这条线里很早、很醒目的公共样本，晋江文案就把核心装置说明白了——读者穿成会被男主狠狠清算的反派师父；作品后来又有动画《穿书自救指南》与海外出版、译介扩展，说明它的装置辨识度很强,,survey_not_ledger,deep_research,non_authoritative,未知,吐槽原作的人，一睁眼成了原作里会死得很惨的反派师父,保命纠偏→养成偏差→黑化反噬→情感翻面,反套路吐槽、养成偏差、黑化悬念、师徒张力,看一个最了解套路的人，能不能躲过套路,真正的改命不是改设定，而是改关系,否,它可借的是“自救视角”和“吐槽-正剧双声道”，不是抄沈清秋口吻,,2026-07-18T14:03:06+08:00
p2_w02_deep10.md,ST-002,p2_w02,死亡万花筒,西子绪,晋江文学城,晋江页直接标“无限流”，中国日报对广播剧的报道又把它称作西子绪代表作之一，说明它在 BL 无限流里已经成了高辨识度样本；很多公开讨论把它当“入坑作”，而广播剧破亿播放更放大了它的门槛装置,,survey_not_ledger,deep_research,non_authoritative,未知,日常先失调，楼道忽然变成长走廊，尽头是十二扇一模一样的铁门,第一次见门→结伴入门→副本升级→门后真相逼近,规则破译、恐怖氛围、强搭档、门内外反差,每过一门，离答案近一点，也离死亡更近一点,外层副本越冷，内层关系越热,否,这本可借的是“入口统一、难度递升、门内外双温差”,,2026-07-18T14:03:06+08:00
p2_w02_deep10.md,ST-002,p2_w02,神秘复苏,佛前献花,起点中文网,公开媒体把它列为悬疑/灵异领域的代表作、现象级作品，平台页的开场文案和后续大量衍生页都不断复述其“规则型厉鬼”特征，这让它成了都市诡异文里很强的一块原型面板,,survey_not_ledger,deep_research,non_authoritative,未知,一句“当你看到这句话的时候我已经死了”，再接羊皮卷、鬼眼和活下来的人,个体求生→事件处置→组织/群体层面应对→更高阶灵异对抗,规则找死法、反噬压迫、以鬼制鬼、城市灾变,不是赢鬼，而是活得比鬼规则更久,主角每多活一次，人就更不像人一点,否,它真正好借的是“恐怖靠规则，强大靠代价”,,2026-07-18T14:03:06+08:00
p2_w02_deep10.md,ST-002,p2_w02,十日终焉,杀虫队队员,番茄小说,它不是普通“无限流爆款”，而是把“智斗、轮回、国风分级游戏、与读者博弈”做得特别极致，所以很多人会把它当近年烧脑求生文的纸面原型,,survey_not_ledger,deep_research,non_authoritative,未知,普通人突然被抓进终焉之地，只能通过死亡游戏求生,单局破题→轮回积累→同伴网络形成→终局真相逼近,谜题套谜题、读者博弈、国风机制、反转连锁,我不靠系统带飞，而靠脑子和人性缝隙往外撬,越接近答案，越会发现答案和自我身份绑在一起,否,它最硬的零件，是把‘解谜’写成长期叙事发动机，而不是副本装饰,,2026-07-18T14:03:06+08:00
p2_w02_deep10.md,ST-002,p2_w02,佛本是道,梦入神机,起点中文网,光明网和多篇网络文学研究文章都直接把它视为“洪荒流”的起始代表，原因是它把《西游记》《封神演义》等神话基因重新搭成一套可供后人沿用的修仙宇宙法则,,survey_not_ledger,deep_research,non_authoritative,未知,都市少年周青意外踏进修道界，小门派、小法轮把人拖进更大的神话秩序,凡俗入门→小门派修行→神话谱系揭幕→量劫棋盘下场,神话重编、谱系排位、权力扩张、量劫压顶,看熟悉的神话人物在新秩序里重新分位,个人证道最终会撞上整个神话宇宙的统治结构,否,它最能借的不是哪位神仙，而是“旧神话做壳，新规则做骨”,,2026-07-18T14:03:06+08:00
p2_w02_deep10.md,ST-002,p2_w02,鬼吹灯,天下霸唱,最早在起点中文网连载，后成系列出版,它被中国作家网直接称为“网络盗墓小说的开创者”，学术论文和媒体评论也把它视作盗墓题材的起始点之一，原因是它稳定建立了“摸金校尉话语体系+古墓副本+民俗玄学+铁三角”的行业蓝本,,survey_not_ledger,deep_research,non_authoritative,未知,家传残卷引路，几位当代摸金校尉下墓探宝,接任务/得线索→入墓→见异象→破局逃生→旧谜牵出新副本,探险悬疑、民俗风水、铁三角互补、遗迹奇观,每进一墓，都能见到一个不一样的中国式未知,墓里不只藏宝，还藏上一代人的秘密和这一代人的命运,否,它最硬的壳，是“职业行规+中国民俗+副本探险”的一体化,,2026-07-18T14:03:06+08:00
p2_w02_deep10.md,ST-002,p2_w02,龙蛇演义,梦入神机,起点中文网连载,光明网直接写它“开创了网络小说中的国术流”，这是最稳的原型标签；中国作家网/公开书介又都把它的重点放在现代社会里的国术技击、黑拳、组织势力和主角爬升之路上,,survey_not_ledger,deep_research,non_authoritative,未知,平凡少年王超结缘唐紫尘，被一脚踢进陌生而致命的现代江湖,入门练身→地下对局验证→组织势力卷入→武道高峰追逐,拳理落地、肉身成长、地下江湖、以命证道,你会看到一套近身杀伤学如何在现代社会成立,主角不仅会赢，还会越来越接近一个更高的武道边界,否,它真正能借的是‘国术当规则’，不是‘国术当摆拍’,,2026-07-18T14:03:06+08:00
