source_report,track,window,title,author,platform,status_note,A_identity,B_worldview_parts,C_structure_hooks,D_borrow_types,E_downstream,F_quality_bar,ingested_at
p2_w01_deep10.md,ST-002,p2_w01,斗破苍穹,天蚕土豆,起点中文网,完结,它常被当原型，不是因为“玄幻很火”这么空，而是因为它把**废柴反弹、可视化升级、学院/宗门并行、异火争夺、三年之约型羞辱钩子**压成了一整套读者秒懂的爽文装置；“莫欺少年穷”与“三年之约”后来几乎成了玄幻开局的公共语言。证据可看起点书页、阅文明星IP页，以及“网文神级名场面”投票报道。,可借用零件主要有四块。**“斗气台阶”**解决的是“主角到底强了多少”的理解问题，等级清楚、对手强弱一眼能分；**“异火稀缺资源”**解决的是“升级靠什么稀缺物”这个问题，让抢资源天然带冲突；**“学院—家族—宗门三层势力”**解决的是地图如何逐步开大，读者能从小城、学院、帝国一路往上爬；**“老爷爷外挂”**解决的是开局解释成本，主角不需要一开始就懂世界，读者跟着学即可。它的常见误借，是只借“退婚羞辱+打脸回场”，却不补一套同样清楚的资源账本和势力台阶，结果只剩情绪，没有结构。可迁移性高的是等级与资源规则，中的是老爷爷装置，低的是原书名场面口号。,开局钩基本是**天才坠落+婚约羞辱+长辈失望**；成长节奏是**小胜证明自己—夺关键资源—跨层对抗—地图升级**；爽感主要来自**延迟打脸、资源争夺、观众见证、等级反超**。对后来者最值钱的“降认知成本”点，其实是那套“**废柴不是废柴，只是外挂未上线**”的解释框架。,常被借的是 **借世界观骨架、借成长表/面板、借地图/副本结构、借势力棋盘、借开局情境、借爽点发动机**，也就是 D1/D2/D3/D4/D5/D6。,**《武动乾坤》**借 D1/D2/D3/D6，成功点是把“起步弱—资源稀缺—大地图扩张”保住了，但把核心资源改成祖符体系；强证据；标签是**正版市场仿作/同类型成功作**。 **《大主宰》**借 D1/D3/D4/D6，成功点是把“位面上升”和学院/大势力棋盘做得更显性；强证据；**正版市场仿作/同类型成功作**。 **《元尊》**借 D1/D2/D4/D6，成功点是继续保留可视化成长表和资源争夺，但换了元纹/源气表达；强证据；**正版市场仿作/同类型成功作**。 **《万相之王》**借 D1/D2/D4/D6，成功点是把“异火式稀缺争夺”换成“相性/相宫”表达，读者上手仍快；强证据；**正版市场仿作/同类型成功作**。 **《绝世武神》**借 D1/D2/D5/D6，能让老读者快速入戏，但如果只剩“受辱—升级—反踩”节拍，就容易被看成流水线玄幻；弱证据；**洗稿换皮嫌疑**风险标记。,只借“上手快”的台阶，不要整段照搬“三年之约”式剧情；要把资源规则换新，不然读者会觉得只是异火换名；势力盘最好重组，不要总是家族—学院—宗门的原顺序；主角逆袭要有新代价，不要纯靠旧外挂；保留“弱转强”的理解便利，但换掉原作口号与名场面触发点。,2026-07-18T13:17:54+08:00
p2_w01_deep10.md,ST-002,p2_w01,凡人修仙传,忘语,起点中文网,完结,它最常被当原型的原因，不是“修仙”两个字，而是它把修仙从“天命主角神挡杀神”改成了**凡人视角、资源稀缺、风险厌恶、长期账本**。中国作家网与《文艺报》都直接把它称作“凡人流”开山之作。,核心能借的有五块。**“凡人主角”**解决的是代入门槛，读者不用先接受天命之子；**“资源账本修仙”**解决的是为何修炼像经营，丹药、法器、洞府、灵石都能量化；**“门派—坊市—秘境”**解决地图切换，有安全区、有交易区、有高风险区；**“谨慎生存规则”**解决行为逻辑，主角避险不是怂，而是世界观要求；**“代价与寿命”**解决修仙不是白嫖，突破、负伤、暴露都要付代价。常见误借，是只学“苟”，却没学到资源稀缺和情报不完全，于是角色像在机械拖剧情。可迁移性最高的是资源账本和坊市逻辑。,开局钩是**普通少年意外入门**；成长节奏不是一路爆冲，而是**攒资源—避风险—小赚便宜—换地图—再攒资源**；爽点来自**算计赢、活下来、低配吃高配、把风险踩在阈值以内**。后来的“降认知成本”复用点，最常见的是“**散修/杂役/记名弟子**”这类底层起步身份。,高频被借的是 **借世界观骨架、借资源与交易规则、借地图结构、借开局身份、借爽点发动机**，偏 D1/D3/D5/D6。,**《魔天记》**借 D1/D3/D5/D6，成功点是继续用“底层入门+高风险修行”的凡人流视角，但把危机推进得更快；强证据；**正版市场仿作/同类型成功作**。 **《仙者》**借 D1/D3/D6，成功点是继续坚持资源和成长的过程感，而不是直接上强者模板；强证据；**正版市场仿作/同类型成功作**。 **《星路仙踪》**借 D1/D5/D6，成功点在于忘语自己继续沿用“普通人视角进大世界”的进入法；中证据；**正版市场仿作/同类型成功作**。 **《聚宝仙盆》**借 D1/D3/D6，成功点是“凡人流、无系统、杂役弟子”这些门槛极低的解释框架全部保住，再加一个“聚宝盆复利”做新资源核心；中证据；**正版市场仿作/同类型成功作**。 **《我师兄实在太稳健了》**借 D6，也借了一部分 D1 的“风险优先”行为逻辑；成功点是把凡人流里的风险厌恶，转成喜剧化、预案化；但它换题够多，不算直接凡人换皮；弱证据；**正版市场仿作/同类型成功作**。,要有真实资源约束，不然“凡人流”会变口号；谨慎必须服务于高风险世界，不是作者拖节奏；底层身份最好能解释交易、避险、情报落差；不要把“苟”写成永远不决策；正确借法是保留风险感和账本感，换掉主角路径与法宝系统。,2026-07-18T13:17:54+08:00
p2_w01_deep10.md,ST-002,p2_w01,斗罗大陆,唐家三少,起点中文网,完结,它之所以常被拿来做原型，核心在于它把“东方玄幻升级”做成了**武魂、魂环、魂骨、学院、团队协作**五件套，术语门槛极低，且几乎天然适合漫画、动画和游戏改编。阅文官方直接把它列为“玄幻网文领军之作”。,**“武魂觉醒”**解决开局身份说明，读者一眼能懂你是啥职业；**“魂环年限梯子”**解决成长可视化；**“魂骨与稀缺魂兽”**解决高值资源争夺；**“学院—大赛—宗门/帝国”**解决地图与势力开大；**“双人/团队协作”**解决单主角长线疲劳。常见误借，是只学“武魂换皮”和“上学打比赛”，却不给职业之间真正的克制关系，读者就会觉得像手游设定书。可迁移性最高的是职业卡组和学院赛事框架。,开局钩一般是**带着前世技能转入新世界+武魂觉醒**；成长节奏是**小队成形—学院训练—大赛证明—宗门/帝国扩张**；爽点来自**魂技搭配、越级打团、团队默契、职业克制反转**。后来者最常复用的“降认知成本”点，是“**这个角色的武魂是什么，所以他能干什么**”。,它最常被借的是 **借世界观骨架、借成长表、借势力棋盘、借开局情境、借爽点发动机、借人物关系母型**，偏 D1/D2/D4/D5/D6/D8。,**《斗罗大陆II绝世唐门》**借 D1/D2/D4/D6，成功点是完整延续“武魂—魂环—学院—团队赛”框架，读者零重新学习成本；强证据；**同人/续写/衍生**。 **《斗罗大陆III龙王传说》**借 D1/D2/D4/D6，成功点是把魂导科技接进旧体系，属于“旧框架加新赛道”；强证据；**同人/续写/衍生**。 **《斗罗大陆外传神界传说》**借 D1/D4/D8，成功点是把斗罗人物关系和神位棋盘继续往上抬；强证据；**同人/续写/衍生**。 **《斗罗大陆IV终极斗罗》**借 D1/D2/D4/D6，成功点是继续用系列公共词典维持易读性；中到强证据；**同人/续写/衍生**。 **《斗罗大陆V重生唐三》**借 D1/D5/D8，成功点是借系列人物锚点和世界门槛，降低新大陆解释成本；强证据；**同人/续写/衍生**。,职业体系要有差异，不要只把武魂名字换掉；赛事框架能借，但胜负逻辑必须重写；团队协作要真有配合，不是五个人轮流放大；学院线不是万能模板，后续势力盘要扩得开；系列术语可以借“好懂”，不能借到读者像看同人续作。,2026-07-18T13:17:54+08:00
p2_w01_deep10.md,ST-002,p2_w01,无限恐怖,zhttty,起点中文网,完结,它是最典型的“装置型原型书”——不是某个角色火，而是它把**主神空间、跨世界副本、任务与奖励、团队生存、死亡倒计时**做成了后来无数“无限流/诸天流”的底座。外部盘点与百科都把它视为“无限流”开山之作。,**“主神任务板”**解决剧情发动问题，角色为什么要进副本不必绕；**“电影/作品副本化”**解决世界观成本，读者对副本先天有熟悉度；**“奖励点/强化兑换”**解决升级可视化；**“团队位分工”**解决群像管理；**“失败即死”**解决持续紧张感。常见误借，是只把主角扔进知名IP世界打卡，却没有清晰任务、资源结算和团队制衡，于是副本只剩观光。,开局钩就是那句非常经典的“要不要知道生命的意义”，本质是**强制入局**；成长节奏是**进副本—做任务—结算强化—复盘队伍—再进更难副本**；爽点来自**熟IP再解释、团队翻盘、临死突破、智斗解局**。后来的降认知成本点，最值钱的其实就是“**副本=一次完整小故事**”。,高频是 **借地图/副本结构、借成长表/面板、借势力与队伍棋盘、借叙事装置、借爽点发动机**，也就是 D2/D3/D4/D7/D6。,**《王牌进化》**借 D2/D3/D6，成功点是把“副本穿梭+强化结算”延续下来，再把背景换成街机世界；中证据；**正版市场仿作/同类型成功作**。 **《最终进化》**借 D2/D3/D6，成功点是更强调数据和智斗，把无限流往“可计算副本”推进了一步；中证据；**正版市场仿作/同类型成功作**。 **《轮回乐园》**借 D2/D3/D6/D7，成功点是保留“签约—穿梭—任务—结算”的低解释成本，同时把个人战斗风格做得更硬；中证据；**正版市场仿作/同类型成功作**。 **《地狱公寓》**借 D3/D7，成功点是把“任务生存”局限到一栋公寓，风险更集中；中证据；**正版市场仿作/同类型成功作**。 **《地狱电影院》**借 D3/D7，成功点是把副本容器改成“恐怖片演员表”；中证据；**正版市场仿作/同类型成功作**。,一定要把“任务—结算—强化”的闭环做清楚；副本不能只是去名IP里拍照；团队位必须真有功能，不然群像会散；风险必须真能死人，不然紧张感失效；借无限流最怕只学“世界很多”，却没学“每一关都是一份可结算的账”。,2026-07-18T13:17:54+08:00
p2_w01_deep10.md,ST-002,p2_w01,诡秘之主,爱潜水的乌贼,起点中文网,完结,这本书被当原型，核心不是“克苏鲁”三个字，而是它把**蒸汽奇幻、序列升级、组织调查、小队推进、日记/灰雾装置**缝成了一个解释成本极低的超凡世界；它还是阅文官方口径里的“起点首部均订破30万作品”，名场面投票和改编潜力评估都处在头部。,**“序列途径”**解决升级复杂度，读者知道每条路径怎么长；**“扮演法/仪式感”**解决能力为什么不仅是数值，而是角色与规则绑定；**“教会—官方—秘密组织”**解决势力棋盘； **“日记与灰雾议会”**解决信息差分发；**“神秘学禁忌”**解决代价。常见误借，是只学“蒸汽+邪神+塔罗牌味道”，却拿不出一套同样严密的途径规则，最后只剩氛围壁纸。可迁移性最高的是序列梯子和组织调查结构。,开局钩是**现代人异界醒来+立即卷入神秘事件**；成长节奏是**破案入门—加入组织—提升序列—接近更大秘密**；爽点来自**信息差、仪式感、组织归属、谜题揭面、身份叠套**。后来者最爱借的“降认知成本”点，是“**序列越高越危险，但每一步都有命名和仪式**”。,常被借的是 **借世界观骨架、借成长表、借势力棋盘、借叙事装置、借爽点发动机**，偏 D1/D2/D4/D7/D6。,**《宿命之环》**借 D1/D2/D4/D7/D6，属于官方第二部，成功点就是完全复用诡秘世界公共词典，把读者重新培训成本降到最低；强证据；**同人/续写/衍生**。 **《深海余烬》**借 D1/D4/D6，成功点是借了神秘调查、层层揭谜和厚重氛围，但把舞台换成海上迷雾；弱到中证据；**正版市场仿作/同类型成功作**。 **《黎明之剑》**借 D1/D4，成功点是同样把复杂架空世界写得通俗，组织与文明推进比个人升级更醒目；弱证据；**正版市场仿作/同类型成功作**。 **《从红月开始》**借 D4/D6/D7，成功点是保留了“调查小队+污染规则+逐层揭密”的可读性，但把神秘学换成精神污染；弱证据；**正版市场仿作/同类型成功作**。,可以借“升级有名字有仪式”，不要照抄序列词表；可以借组织调查线，不能把灰雾议会直接换名；神秘学必须有代价，不然只是技能树；氛围不能代替规则；真正合格的借法，是让读者用熟悉的解释框架进门，但门里是新谜题、新组织、新禁忌。,2026-07-18T13:17:54+08:00
p2_w01_deep10.md,ST-002,p2_w01,大王饶命,会说话的肘子,起点中文网,完结,它的原型性不在“灵气复苏”这四个字本身，而在于它把**灵气复苏+嘴炮反套路+负面情绪值系统+兄妹日常**压成了一种非常轻、非常快、非常会出章评的都市异能模板。中国作家网和媒体都把它视作作者成名作与现象级爆款。,**“灵气复苏公共灾变”**解决世界为何突然切到超凡；**“负面情绪值系统”**解决主角变强路径和喜剧化互动；**“学校—散修—官方组织”**解决势力过渡；**“全球同步异变”**解决地图扩展；**“亲情护卫线”**解决主角为什么不断入局。常见误借，是只学“怼人变强”，结果世界规则很空，读者几章就腻。,开局钩是**普通学生突然卷进灵气复苏**；成长节奏是**校园局部事件—城市异变—官方世界观揭开—全球扩盘**；爽点来自**嘴上亏吃小亏、系统暗赚、兄妹互动、反套路打脸**。最常被复用的降认知成本点，就是“**现代城市没变，但社会规则被灵气复苏改写了**”。,常被借的是 **借世界观骨架、借成长表/系统、借势力棋盘、借开局情境、借爽点发动机、借人物关系母型**，偏 D1/D2/D4/D5/D6/D8。,**《第一序列》**借 D1/D4/D6，成功点是保留“灾变后的新秩序”和角色嘴上不正经、骨子里有担当的爽感，但把都市灵气复苏换成废土壁垒；强证据；**正版市场仿作/同类型成功作**。 **《夜的命名术》**借 D5/D6/D7，成功点是继续沿用“高钩子开局、强设定入局、轻快口吻”，但舞台换成赛博群穿；中证据；**正版市场仿作/同类型成功作**。 **《青山》**借 D6，更像是作者把“大王式人物爽感”挪到江湖叙事；题材换得较大，所以只算中证据；**正版市场仿作/同类型成功作**。 **《从红月开始》**借 D1/D6，成功点是同样用现代社会突然异变去降低世界观解释成本，但把搞笑值换成惊悚值；弱证据；**正版市场仿作/同类型成功作**。,轻松口吻可以借，负面情绪值不能换个名字就上；灵气复苏最好有独到社会后果；现代城市舞台要和超凡规则真正碰撞；兄妹/亲情线要有功能，不是卖萌挂件；正确借法是保留“现代人秒懂”的世界入口，换掉成长货币和冲突来源。,2026-07-18T13:17:54+08:00
p2_w01_deep10.md,ST-002,p2_w01,全球高武,老鹰吃小鸡,起点中文网,完结,它更像是**把都市高武做成了工业化模板**：平行现代、武科高考、气血数值、地窟战争、资源兑换、国战视角，这几块拼起来，读者基本不用再学第二遍。它长期霸榜，并进入重要榜单。,**“气血数值化”**解决强弱理解；**“武科/校园入口”**解决现代读者如何进入武道世界；**“地窟异域”**解决副本与长期战场容器；**“功勋/财富值/资源兑换”**解决成长账本；**“人族整体战争”**解决个人爽文为何能扩到大地图。常见误借，是只学“校武+打怪”，却没有一张清楚的资源兑付表。,开局钩是**现代学生突然意识到武者决定阶层**；成长节奏是**校园冲榜—城市任务—地窟战争—人族大战略**；爽点来自**数值狂飙、军功兑现、地图扩张、以小见大战局**。后人最好借的降认知成本，就是“**高考/学校/班级/排行榜**”这些现代语境。,高频是 **借世界观骨架、借成长表/面板、借地图/副本结构、借势力棋盘、借开局情境、借爽点发动机**，偏 D1/D2/D3/D4/D5/D6。,**《万族之劫》**借 D1/D2/D4/D6，成功点是保留高数值、高资源消耗、高族群对抗，再把战场从地窟换成万族诸天；强证据；**正版市场仿作/同类型成功作**。 **《星门》**借 D1/D3/D4/D6，成功点是继续沿用“个人成长绑定大世界危机”的推进法；中到强证据；**正版市场仿作/同类型成功作**。 **《高武纪元》**借 D1/D2/D3/D5/D6，成功点是把“现代文明+高武灾变+境界成长”重新压成面向新读者的版本；中证据；**正版市场仿作/同类型成功作**。 **《我在精神病院学斩神》**借 D1/D5/D6，成功点在于同样从现代都市入口切入高武/神明体系，读者上手快；但它更偏神话代理与守夜人组织，不算地窟模板复刻；弱证据；**正版市场仿作/同类型成功作**。,现代入口要保住，但不能又是同一套武科高考；数值化要配资源消耗，不然只是报等级；副本/异域战场必须承担地图放大功能；个人爽感最好能接到集体战争，不然越写越小；真正能借的是“现代高武怎么让人秒懂”，不是“地窟”两个字本身。,2026-07-18T13:17:54+08:00
p2_w01_deep10.md,ST-002,p2_w01,亏成首富从游戏开始,青衫取醉,起点中文网,完结,这本书最值钱的不是“都市创业”而是**反向目标系统**：主角越想亏钱越成功。它又把游戏行业细节、公司经营、产品定位、员工管理全塞进爽文框架，所以后来同类书特别爱借。媒体报道中，它打破了起点游戏频道纪录。,**“亏钱才赚钱的系统”**解决反套路发动机；**“现实游戏行业语境”**解决世界观解释成本，尤其适合当代读者；**“公司组织与项目制”**解决势力关系；**“产品上线—市场误读—反向爆款”**解决循环节拍；**“老板/员工认知错位”**解决情报差。常见误借，是只学标题和系统规则，不懂产品逻辑与商业判断，读起来就像段子串。,开局钩是**重生拿到反向创业系统**；成长节奏是**立项—故意做错—市场误读—项目爆火—主角更崩溃**；爽点来自**反转、行业真实感、员工脑补、连续误读**。后人最常复用的降认知成本点，是“**做游戏/做产品/开公司**”这套现实语境。,常被借的是 **借世界观骨架、借成长表/系统、借势力棋盘、借开局情境、借爽点发动机**，偏 D1/D2/D4/D5/D6。,**《虚拟尽头》**借 D5/D6，成功点是保留“反套路主角+游戏/虚拟产业语境”，但系统目标与世界类型明显换了；强证据；**正版市场仿作/同类型成功作**。 **《当我写了个BUG却变成核心玩法》**借 D5/D6，成功点是把“反向成功”从亏钱系统改成 BUG 被市场误读，行业理解仍然在线；强证据；**正版市场仿作/同类型成功作**。 **《说好制作烂游戏，泰坦陨落什么鬼》**借 D5/D6，成功点是直接把“故意做烂—结果爆火”的结构翻成游戏制作文；但贴脸度已经很高；中证据；**正版市场仿作/同类型成功作**。 **《让你制作烂游戏，杀戮尖塔什么鬼》**借 D5/D6，标题和钩子都高度近似，风险在于如果只剩“烂游戏结果爆火”这一反转，就很容易变成换皮；弱证据；**洗稿换皮嫌疑**。,行业细节必须真，不然反转立不住；要换“反向目标”的触发条件，不能总是亏钱系统；老板与市场的认知错位要能持续升级；项目周期要有差异化，不然很快公式化；最怕的换皮就是系统名字改了，误读链条没变。,2026-07-18T13:17:54+08:00
p2_w01_deep10.md,ST-002,p2_w01,我师兄实在太稳健了,言归正传,起点中文网,完结,它被反复提起，主要因为它把“**稳健流**”从读者口头感受做成了明牌卖点：预案、演算、风险控制、洪荒背景下的低调生存，全都可以模块化借走。媒体和作者页都直接用了“稳健流开创者”表述。,**“预案式主角”**解决角色行为统一性；**“洪荒/封神前夜”**解决大背景熟悉度；**“师门—天庭—大教”**解决势力棋盘；**“算计代替莽冲”**解决爽点换挡；**“喜剧化旁人误判”**解决阅读轻感。常见误借，是只学“苟”和“稳”，却没有可验证的预案系统，结果角色像被作者强行按住。,开局钩是**穿进大劫前夜的危险世界**；成长节奏是**先自保—再布局—再借势入局**；爽点来自**预案生效、智商压制、别人脑补、稳中取胜**。最常被复用的降认知成本点，是“**越危险的世界，越要做足预案**”。,主要被借的是 **借世界观骨架、借势力棋盘、借开局情境、借爽点发动机、借人物关系母型**，偏 D1/D4/D5/D6/D8。,**《这个人仙太过正经》**借 D1/D4/D6，成功点是继续走“东方神话大背景+高智/轻喜剧”路线，但不再把“稳健”写成唯一性格；强证据；**正版市场仿作/同类型成功作**。 **《天庭最后一个大佬》**借 D1/D4/D6，成功点是继续沿用熟悉神话势力盘和轻松语气；强证据；**正版市场仿作/同类型成功作**。 **《稳健流修仙》**借 D6，但标题就把借用意图写在脸上，如果正文没有新风险系统，换皮感会非常强；弱证据；**洗稿换皮嫌疑**。 **《洪荒：吾乃帝俊，稳健流天帝！》**借 D1/D6，成功点有限，风险在于只借“稳健+洪荒”标签，不换冲突与预案逻辑；弱证据；**洗稿换皮嫌疑**。,稳健必须表现为“预案链”，不是人物一直不动；洪荒背景能借熟悉度，但不能照抄旧神系走位；喜剧误判要来自信息差，不是角色集体降智；主角若总不冒险，必须有代偿性经营/布局爽点；最合格的借法，是借“风险管理型主角”，不借李长寿式原路径。,2026-07-18T13:17:54+08:00
p2_w01_deep10.md,ST-002,p2_w01,遮天,辰东,起点中文网,完结,它常被当原型，不是因为它“玄幻很大”，而是因为它把**古史谜团、星空远征、圣地世家棋盘、禁区压迫、帝路竞争**做成了读者一进门就能感到“世界很深”的模板；它也长期出现在神作榜和经典盘点里。,**“北斗/星空分层地图”**解决大地图跃迁；**“圣地—世家—禁区”**解决势力棋盘；**“大帝路/证道”**解决顶层成长目标；**“古史断层与狠角色传说”**解决信息差；**“禁区与寿元压力”**解决代价。常见误借，是只学“古老、宏大、神秘”这些气质词，却没有清楚的地图与势力结构，读者只会觉得空。,开局钩是**现代人被抛进超大远古宇宙格局**；成长节奏是**小修士求生—古史碎片拼图—踏星空—争大位**；爽点来自**世界深度、传说人物余威、地图跳跃、古史回响**。后来者最爱借的降认知成本，是“**世界上有远古大能留下的坑和传说**”。,常见的是 **借世界观骨架、借地图结构、借势力棋盘、借爽点发动机、借叙事装置**，偏 D1/D3/D4/D6/D7。,**《完美世界》**借 D1/D3/D4/D6，成功点是继续做超大古史宇宙与强势力棋盘，但时间位置与核心冲突都换了；强证据；**正版市场仿作/同类型成功作**。 **《圣墟》**借 D1/D3/D4/D6，成功点是把“古史/禁区压迫感”搬到后文明时代，读者仍能用旧框架秒懂世界层级；强证据；**正版市场仿作/同类型成功作**。 **《夜无疆》**借 D1/D4/D6，成功点是继续保留辰东式大世界阴影和远古压迫感；中证据；**正版市场仿作/同类型成功作**。 **《完美世界之十冠成王》**借 D1/D3/D6，标题和进入方式都很直接，更偏依托原作留白二次生长；弱证据；**同人/续写/衍生**。,宏大感一定要靠地图和势力，不要只靠形容词；古史谜团要一层层放，不能一上来全糊脸；“大帝路”这种顶层目标能借，但证道逻辑要重写；禁区要真能构成压迫，不是摆设；正确借法是借深度感，不借原作传说人物和原名词。,2026-07-18T13:17:54+08:00
