window,title,part_name,part_kind,cognitive_job,key_rules_text,migratability,common_misborrow,arch_slot_candidate,mountability,part_evidence_level,source_report,ingested_at
p2_w02,放开那个女巫,工业化魔法协作,力量表/资源,读者不用先学一整套玄学，只要理解“能力分工可以转生产力”就能进戏,女巫能力是可分工的；工程知识优先落在火药、蒸汽、材料、制造等看得见的产出上；政治与产能扩张绑在一起；魔法不负责替代工业，而是补工业短板,高,只抄“造枪造炮”不写制度、供应和人员组织,rules,可挂候选,强,p2_w02_deep10.md,2026-07-18T14:03:06+08:00
p2_w02,放开那个女巫,异端到资产,势力/信息差/禁忌,读者能迅速明白女巫既是被迫害者，也是新秩序生产节点,旧秩序把女巫当异端；新秩序把她们重新分配到生产、军事、情报和治理链条；身份转译本身就是剧情推进器,高,把“女巫团”写成收集卡牌，没写社会位置变化,reader_promises,可挂候选,强,p2_w02_deep10.md,2026-07-18T14:03:06+08:00
p2_w02,放开那个女巫,边疆基建-王权扩张,地图/势力/资源,不用先铺大帝国史，先从边地起盘就行,小地方先成为实验田；实验田一旦跑通，就反向吞并更大格局；地图扩张跟技术扩张同步,高,一开局就全国改革，缺少边地缓冲带,narrative_units,未知,中,p2_w02_deep10.md,2026-07-18T14:03:06+08:00
p2_w02,全职高手,荣耀职业体系,力量表/规则,不懂电竞也能跟，因为每个职业和操作角色都能转成可视化分工,先有统一游戏，再有职业联赛；职业差异既服务对战，也服务人物辨识；自制武器提供破格感；现实战队与游戏角色双线绑定,高,只抄职业名和技能名，不写联赛生态,rules,可挂候选,强,p2_w02_deep10.md,2026-07-18T14:03:06+08:00
p2_w02,全职高手,退役大神低位重开,信息差/叙事装置,一句“巅峰选手被俱乐部驱逐”就解释了能力高和处境低的反差,名望在上、位置在下；低位入口让读者一路看回归；旧敌旧友都成资源和阻力,极高,只写“高手装萌新”，忘了职业体系的历史债,narrative_units,未知,强,p2_w02_deep10.md,2026-07-18T14:03:06+08:00
p2_w02,全职高手,战队是主角群，不是背景墙,势力/人物关系母型,读者不必硬记几十人，只要按战队理解协作和对立就行,战队既是组织，也是人物命运容器；对手也能被写出职业尊严；团队协作比单人神打更重要,高,把队友写成主角技能挂件,reader_promises,可挂候选,强,p2_w02_deep10.md,2026-07-18T14:03:06+08:00
p2_w02,知否？知否？应是绿肥红瘦,门第生存学,势力/状态事实,不用跟读者补大朝史，只要看家族门第就能明白角色起落,庶出身份决定初始筹码偏低；家族决定婚配边界；礼法不仅管行为，也管声名；一场飞来横祸能连坐整家人的安全感,高,只抄宅斗小心机，不写门第如何决定命运边界,state_facts,不可挂,强,p2_w02_deep10.md,2026-07-18T14:03:06+08:00
p2_w02,知否？知否？应是绿肥红瘦,祖辈庇护-内宅信息差,信息差/人物关系母型,读者能迅速理解谁是安全屋、谁是风险源,长辈庇护决定成长窗口；家庭里真正有用的信息不会平均发放；会做人比会吵架更重要,高,把祖母写成万能外挂,reader_promises,可挂候选,中,p2_w02_deep10.md,2026-07-18T14:03:06+08:00
p2_w02,知否？知否？应是绿肥红瘦,婚配即治理,势力棋盘/资源,恋爱线和制度线不必两张皮，婚配本身就是阶层流动手段,择偶是政治与生活的双重决策；女性生存不只看宠爱，还看能否经营关系网络；进入新门第就是进入新地图,高,把婚后写成纯甜宠，丢掉治理维度,payoffs,可挂候选,强,p2_w02_deep10.md,2026-07-18T14:03:06+08:00
p2_w02,人渣反派自救系统,读者入侵原作,信息差/叙事装置,主角知道原作走向，读者就自动知道“为什么他这么怕”,主角知道自己处在一本烂尾/套路化原作里；他不是来升级，而是先保命；任何偏离原作的善意都可能改写关系走向,极高,只抄穿书，不给主角足够的原作知识负担,narrative_units,未知,强,p2_w02_deep10.md,2026-07-18T14:03:06+08:00
