claim,source_title,source_url,source_type,date,model,dataset,context_length,comparison,metric,result,applicability_to_chinese_novel_fact_extraction,evidence_strength,caveat
[E01] 中文网络小说中的指代大量跨越局部窗口；150～250 token只能覆盖其中一部分，不能视为章内记忆的充分替代。,NovelCR: A Large-Scale Bilingual Dataset Tailored for Long-Span Coreference Resolution,https://aclanthology.org/2025.findings-acl.268/,同行评审论文（Findings of ACL 2025）,2025-07,数据集统计；距离以 Llama-3.1 tokenizer 计,"NovelCR-zh；19,288个中文小说章节，80,872句，311,482个mention，273,379个共指对","章节筛选范围256～32,768 token；平均共指距离184.3 token",NovelCR-zh 与 CoNLL2012-zh、CLUEWSC2020,共指距离、长距离共指占比,83%共指对跨≥3句；70%共指对距离≥100 token；平均5.2句/184.3 token。,直接适用于中文小说人物/实体指代风险；不直接测事实抽取、status、evidence。,强（语料直接，任务部分相邻）,论文没有报告≤250 token的累计覆盖率。未找到能直接支持“150～250 token通常足够”的证据。
[E02] 中文小说存在大量零代词，单纯检索显式“他/她”会漏掉一类重要主体恢复问题。,NovelCR: A Large-Scale Bilingual Dataset Tailored for Long-Span Coreference Resolution,https://aclanthology.org/2025.findings-acl.268/,同行评审论文（Findings of ACL 2025）,2025-07,人工标注数据分析,NovelCR-zh,"章节级；256～32,768 token",零代词在全部中文mention中的占比,零代词数量与比例,"84,738个零代词，占中文已标mention的27.2%。",直接提示中文网文主体省略风险；不能直接推出哪种窗口长度最优。,强（中文小说直接语料）,mention检测和共指标注合同与本项目事实合同不同。
[E03] 即使是强模型，中文小说共指仍明显落后于人工，不能把“整章可放入”当成“指代已解决”。,NovelCR: A Large-Scale Bilingual Dataset Tailored for Long-Span Coreference Resolution,https://aclanthology.org/2025.findings-acl.268/,同行评审论文（Findings of ACL 2025）,2025-07,GPT-o1、Llama-3.1(CoT)、传统共指模型、人工,"NovelCR-zh；测试约2,000章；人工评估随机200文档（中英文合计说明）","长章被切为不重叠、最多2,048 word-piece token的片段用于基线",GPT-o1 / Llama-3.1 / Human,CoNLL F1,GPT-o1 72.9；Llama-3.1(CoT) 72.0；人工90.5。,直接适用于指代难度判断；不是开放式事实抽取成绩。,强（中文小说直接任务）,基线切段方式不是本项目800～1200/重叠方案，也不是LLM开放事实抽取。
[E04] 共指距离增加时性能下降；这支持按“前文依据距离”分桶，而不是只看全局F1。,NovelCR: A Large-Scale Bilingual Dataset Tailored for Long-Span Coreference Resolution,https://aclanthology.org/2025.findings-acl.268/,同行评审论文（Findings of ACL 2025）,2025-07,Fastcoref、Llama-3.1、GPT-o1,NovelCR-en长距离子集,按句距分为<3句、3～5句、>5句,同模型不同指代距离,F1,Fastcoref 88.9→79.2→69.8；Llama-3.1 93.5→76.1→73.9；GPT-o1 92.8→82.8→76.3。,小说任务直接、语言为英文；只能支持距离分桶与长距风险，不能外推具体中文降幅。,中强（小说直接，语言间接）,论文未给NovelCR-zh同样的距离分桶结果。
[E05] 书级全文处理并不自动优于较短窗口；但该比较混合了模型与评分范围，不能当作因果结论。,BOOKCOREF: Coreference Resolution at Book Scale,https://aclanthology.org/2025.acl-long.1197/,同行评审论文（ACL 2025）,2025-07,Longdoc、Dual Cache、Maverickxl,53本英文经典小说；BOOKCOREFgold人工金标测试为3本；平均27个角色/书,全文书级；对照为独立1500-token窗口,full-book BOOKCOREFgold 与 split 1500-token SPLIT-BOOKCOREFgold,CoNLL F1,训练后Longdoc在全文设置67.0；训练后Maverickxl在1500-token切分设置82.2。,支持“更长不必然更好”和书级难度；不直接比较同一模型、同一评分目标。,中（英文小说相近任务）,模型、聚类范围和评价目标不同，不能把15.2分差解释为切段的纯收益。
[E06] 长上下文存在明显位置偏差：相关信息放在中部时，读取准确率可能大幅下降。,Lost in the Middle: How Language Models Use Long Contexts,https://aclanthology.org/2024.tacl-1.9/,同行评审论文（TACL 2024；预印本2023）,2024-02,GPT-3.5-Turbo 4K/16K、Claude 1.3/100K、MPT-30B-Instruct、LongChat-13B等,"NaturalQuestions-Open多文档问答；2,655个查询；10/20/30个检索文档",数千至长上下文；答案文档位置被系统移动,答案在开头、中间、结尾；不同文档数,包含答案字符串的问答准确率,20文档时GPT-3.5-Turbo从开头75.8%降至中部最低53.8%，结尾63.2%；呈U形位置效应。,支持整章输入必须单独测中段/尾段漏抽；英文问答，不是中文事实抽取。,中（长上下文机制证据）,检索问答只需找一个答案，和一章全量高召回抽取不同。
[E07] 增加更多上下文会快速进入边际收益饱和，同时继续增加成本和噪声。,Lost in the Middle: How Language Models Use Long Contexts,https://aclanthology.org/2024.tacl-1.9/,同行评审论文（TACL 2024）,2024-02,GPT-3.5-Turbo、Claude-1.3,NaturalQuestions-Open多文档问答,超过20个检索文档，最高测到50个,20个以上继续增加检索文档,reader accuracy增量,超过20个文档后，GPT-3.5-Turbo约只再增1.5%，Claude-1.3约只增1%，但输入与成本显著增加。,支持B窗口长度和E的k需要实测，不应假定越长越好。,中（机制相近）,英文QA，且文档是检索结果，不是连续小说原文。
[E08] 宣称的上下文窗口不等于可可靠利用的“有效上下文”。,RULER: What’s the Real Context Size of Your Long-Context Language Models?,https://arxiv.org/abs/2404.06654,arXiv原论文/公开基准,2024-04,17个长上下文模型,RULER；13个合成任务，包含检索、多key、多value、变量追踪、聚合与QA,4K～128K,同模型随长度增长；标称长度与有效长度,13任务平均分与相对Llama2-7B基线,除Gemini-1.5-Pro外，模型在长度增长时均明显退化，并在各自标称长度难以维持基线以上表现；论文摘要称约一半模型在32K仍令人满意。,支持先验证8.8K内的有效利用与干扰鲁棒性；不是自然中文小说任务。,中弱（长上下文压力测试）,作者也明确指出合成任务不能替代真实长文本评测。
[E09] 长上下文训练数据占比并非越高越好；混合短/长样本值得测试，但论文的60/40不能直接照搬。,How to Train Long-Context Language Models (Effectively),https://aclanthology.org/2025.acl-long.366/,同行评审论文（ACL 2025）,2025-07,Llama-3-8B-Base/ProLong,书籍、代码库与ShortMix；5B-token消融,长数据为64K单文档块；短数据为常规短文本,长上下文数据占比20%～100%及SFT前后,长任务平均与短任务平均,长数据增加初期提升长任务，继续增加后反而损害；短任务随长数据占比增加持续下降；该实验最佳平均为60%长/40%短。,支持混合训练格式与事实权重归一的实验；不是中文、不是抽取、规模远大于本项目。,中（训练分布机制）,60/40是该模型和预训练语料的结果，不是本项目推荐比例。
[E10] 训练长度分布会影响长上下文能力，短段训练直接改成整章推理存在待测分布差异。,How to Train Long-Context Language Models (Effectively),https://aclanthology.org/2025.acl-long.366/,同行评审论文（ACL 2025）,2025-07,Llama-3-8B ProLong,长上下文持续训练；所有结果在64K评估,20B 64K训练；再加4B 64K或4B 512K训练,64K继续训练与512K继续训练,Recall/RAG/Re-rank/ICL,20B 64K：96.5/52.7/22.8/70.6；+4B 64K：95.0/56.4/28.0/78.8；+4B 512K：98.5/56.9/32.9/79.2。,支持训练—推理长度需要对齐或混合；不能量化本项目4K～9K的损失。,中（训练长度机制）,持续预训练与SFT格式不同；任务也不同。
[E11] 全量长上下文在若干长文QA上平均优于固定RAG，但不是每个查询都需要全文。,Retrieval Augmented Generation or Long-Context LLMs? A Comprehensive Study and Hybrid Approach,https://aclanthology.org/2024.emnlp-industry.66/,同行评审工程研究（EMNLP Industry 2024）,2024-11,Gemini-1.5-Pro、GPT-4o-2024-05-13、GPT-3.5-Turbo-0125,"9个英文长文QA数据集，共1,930查询；含NarrativeQA等",从约3.6K词到约150K词；各数据集不同,全文长上下文LC vs Contriever RAG,数据集任务分数平均,Gemini LC 49.70 vs RAG 37.33；GPT-4o LC 48.67 vs 32.60；GPT-3.5 LC 32.07 vs 30.33。,支持F作为真实候选、E不应自动替代全文；仍是英文QA，目标不是全量抽取。,中（长文真实任务相近）,RAG检索器、提示和任务均与项目不同；LC优势不能外推为事实抽取优势。
[E12] 路由式混合可以在接近全文成绩时降低token，但路由本身必须在训练书上冻结。,Retrieval Augmented Generation or Long-Context LLMs? A Comprehensive Study and Hybrid Approach,https://aclanthology.org/2024.emnlp-industry.66/,同行评审工程研究（EMNLP Industry 2024）,2024-11,GPT-4o、GPT-3.5-Turbo、Gemini-1.5-Pro,"9个英文长文QA数据集，共1,930查询",数据集原始长文；路由选择RAG或LC,SELF-ROUTE vs 全文LC,平均任务分数、token使用比例,GPT-4o SELF-ROUTE 48.89 vs LC 48.67，使用61.40% token；GPT-3.5 35.32 vs 32.07，使用38.85% token；Gemini 46.41 vs 49.70，使用38.39% token。,支持按章节/片段难度路由A/B/F/G的候选设计。,中（工程机制）,路由判据依赖模型自评“RAG是否足够”，不一定适合高召回抽取。
[E13] 中文文档级抽取受益于文档编码、路径记忆与缓解训练/推理输入错配。,Doc2EDAG: An End-to-End Document-level Framework for Chinese Financial Event Extraction,https://aclanthology.org/D19-1032/,同行评审论文（EMNLP-IJCNLP 2019）,2019-11,Doc2EDAG、DCFEE-O/M、GreedyDec,"ChFinAnn；32,040份中文金融公告；25,632/3,204/3,204；5事件类型；29%多事件",最多64句×每句128字符,文档级端到端模型 vs 关键句/启发式补全基线,事件级平均F1,Doc2EDAG平均76.3；DCFEE-O 58.0；多事件子集67.3 vs 49.6。,中文文档级信息抽取的强相邻证据；支持跨句状态/事件建模。,中强（中文IE相近）,闭集金融事件表、文档短于长篇小说、不是LLM开放事实抽取，也无逐字evidence字段。
[E14] 使用正确路径/实体历史训练、使用模型预测历史推理会造成错误级联；scheduled sampling可缓解但不能直接移植。,Doc2EDAG: An End-to-End Document-level Framework for Chinese Financial Event Extraction,https://aclanthology.org/D19-1032/,同行评审论文（EMNLP-IJCNLP 2019）,2019-11,Doc2EDAG消融,"ChFinAnn 32,040文档",最多64句×128字符,完整模型 vs 去掉PathMem / Scheduled Sampling / DocEnc,平均F1变化,去PathMem -9.7；去Scheduled Sampling -5.0；去Document Encoding -2.1。论文明确把金标实体到模型识别实体的切换视为训练—推理差距。,支持C2必须区分gold/self历史并测错误传播。,中强（中文IE相近机制）,模型架构、标签空间和训练方法均不同，数值不可外推。
[E15] 中文文档级事件抽取仍很难，长上下文并未自动解决低召回和边界问题。,DocEE-zh: A Fine-grained Benchmark for Chinese Document-level Event Extraction,https://aclanthology.org/2024.findings-emnlp.35/,同行评审论文（Findings of EMNLP 2024）,2024-11,BERT_Seq、MG-Reader、BERT_QA、Doc2EDAG、ProcNet、PAIE、GPT-4等,"DocEE-zh；超过36,000事件、210,000参数；人工标注；新闻文档",论文按文档输入；每文档单一核心事件，具体token均值未统一报告,多种文档级事件抽取模型,事件参数抽取F1,自动精确匹配最高ProcNet 45.88；GPT-4自动F1 24.88，人工评价F1 68.86。,支持同时报告严格与语义F1、不能只用一种自动匹配。,中强（中文文档IE）,新闻、闭集事件；论文也显示自动与人工指标差距大。
[E16] 金标历史给出的成绩可能严重高估部署成绩；预测历史会持续传播错误。,Diable: Efficient Dialogue State Tracking as Operations on Tables,https://aclanthology.org/2023.findings-acl.615/,同行评审论文（Findings of ACL 2023）,2023-07,T5v1.1-base 247M；Diable,"MultiWOZ 2.1/2.2/2.4；约9,917处理后对话、79,793轮；5随机种子",当前轮/前4轮加前一状态；对话级递归状态,测试时输入predicted previous state vs gold previous state,Joint Goal Accuracy,2.1→2.1：53.91±0.70 vs 80.65±0.24；2.1→2.4：70.03±0.95 vs 90.14±0.30；2.2→2.2：56.30±0.67 vs 82.50±0.28；2.2→2.4：66.13±0.97 vs 88.29±0.35。,强力支持C2-gold只能当上限，C2-self才是部署估计。,中强（递归状态机制直接）,英文任务型对话，不是中文小说；20～27点差不能作为本项目预期差值。
[E17] 结构化状态可能比全文历史更干净，但完全移除原文历史会损害对早期信息的恢复。,Diable: Efficient Dialogue State Tracking as Operations on Tables,https://aclanthology.org/2023.findings-acl.615/,同行评审论文（Findings of ACL 2023）,2023-07,T5v1.1-base；Diable与lightCumulative,MultiWOZ 2.2/2.4,前一结构化状态；可追加前4轮对话,紧凑表状态 vs 累积状态/对话历史,JGA、消融,论文报告紧凑前态减少噪声；去除对话历史会降低找回早期值能力；加前4轮通常有改善，但作者指出固定最近轮可能加入无关信息或漏掉远处相关轮。,支持D与原文回溯并存，而非“摘要替代原文”。,中（状态记忆机制）,无可直接迁移到小说status/speaker的数值。
[E18] 第二遍修订可以减少部分递归状态错误，但收益有限，不能把G当作自动纠错保证。,Amendable Generation for Dialogue State Tracking,https://aclanthology.org/2021.nlp4convai-1.8/,同行评审工作坊论文（NLP4ConvAI 2021）,2021-06,PLATO-2/GPT-2生成式DST；AG-DST,"MultiWOZ 2.2（10,424对话、5域、30 slots）与WOZ 2.0",当前轮＋前一状态；对照含全对话历史,基础生成 vs 第二遍amending generation/负采样,Joint Goal Accuracy,MultiWOZ 2.2：56.20→57.07（+0.87）；加负采样57.26（+1.06）；启发式负采样57.35（+1.15）。,支持G值得测，但不能假设章级整合会大幅修好事实。,中（两遍式机制）,英文对话状态跟踪；不是逐字证据约束抽取。
[E19] 小而有选择性的实体记忆可以接近无界记忆，说明D应优先存实体/事件状态，而非自由摘要。,Learning to Ignore: Long Document Coreference with Bounded Memory Neural Networks,https://aclanthology.org/2020.emnlp-main.685/,同行评审论文（EMNLP 2020）,2020-11,Unbounded Memory、Learned Bounded Memory、Rule-based Bounded Memory,"LitBank；100个英文小说前缀，平均约2,100词；10折80/10/10",文档级；记忆容量5/10/20个entity cells,无界记忆 vs 受限实体记忆,CoNLL F1,无界75.9；学习式20-cell 75.7；10-cell 74.9；规则式20-cell 72.6。,支持结构化、可淘汰的实体状态候选。,中（英文小说共指）,神经内部记忆不是外部JSON状态卡；不能证明模型生成摘要可靠。
