书名,章号,原表文件,切片数据行号,辅助表类型,辅助表原编号,对象类_仅章末表,审阅对象,结论,一句理由,关联主表审阅行键,关联主表候选结论,审阅身份
炼气士不死于无限,1,lianqishi/02_章末零条.csv,1,章末零条,,事实账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是事实账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/02_章末零条.csv,2,章末零条,,人物账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是人物账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/02_章末零条.csv,3,章末零条,,地点账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是地点账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/02_章末零条.csv,4,章末零条,,物品账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是物品账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/02_章末零条.csv,5,章末零条,,势力账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是势力账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/02_章末零条.csv,6,章末零条,,体系／世界规则账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是体系／世界规则账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/02_章末零条.csv,7,章末零条,,知情边,辅助记录是否作为新增卡片条目,drop_not_for_card,这是知情边的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/02_章末零条.csv,8,章末零条,,A-lite,辅助记录是否作为新增卡片条目,drop_not_for_card,这是A-lite的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/02_章末零条.csv,9,章末零条,,规划账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是规划账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/02_章末零条.csv,10,章末零条,,长线账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是长线账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/02_章末零条.csv,11,章末零条,,协作层,辅助记录是否作为新增卡片条目,drop_not_for_card,这是协作层的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/02_章末零条.csv,12,章末零条,,事实账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是事实账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/02_章末零条.csv,13,章末零条,,人物账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是人物账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/02_章末零条.csv,14,章末零条,,地点账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是地点账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/02_章末零条.csv,15,章末零条,,物品账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是物品账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/02_章末零条.csv,16,章末零条,,势力账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是势力账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/02_章末零条.csv,17,章末零条,,体系／世界规则账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是体系／世界规则账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/02_章末零条.csv,18,章末零条,,知情边,辅助记录是否作为新增卡片条目,drop_not_for_card,这是知情边的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/02_章末零条.csv,19,章末零条,,A-lite,辅助记录是否作为新增卡片条目,drop_not_for_card,这是A-lite的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/02_章末零条.csv,20,章末零条,,规划账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是规划账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/02_章末零条.csv,21,章末零条,,长线账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是长线账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/02_章末零条.csv,22,章末零条,,协作层,辅助记录是否作为新增卡片条目,drop_not_for_card,这是协作层的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/03_抉择句.csv,1,抉择句,,,辅助记录是否作为新增卡片条目,drop_not_for_card,这是LQ-0053的选择分析附表行，不作为新增事实入卡；原候选结论见主表。,LQ-0053,drop_not_for_card,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/02_章末零条.csv,23,章末零条,,事实账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是事实账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/02_章末零条.csv,24,章末零条,,人物账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是人物账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/02_章末零条.csv,25,章末零条,,地点账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是地点账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
