source_report,prototype_title,downstream_title,borrow_types,evidence_level,relation_tag,snippet
p2_w01_deep10.md,斗破苍穹,武动乾坤,"D1,D2,D3,D6",强,正版市场仿作/同类型成功作,**借 D1/D2/D3/D6，成功点是把“起步弱—资源稀缺—大地图扩张”保住了，但把核心资源改成祖符体系；强证据；标签是**正版市场仿作/同类型成功作**。 **
p2_w01_deep10.md,斗破苍穹,大主宰,"D1,D3,D4,D6",强,正版市场仿作/同类型成功作,**借 D1/D3/D4/D6，成功点是把“位面上升”和学院/大势力棋盘做得更显性；强证据；**正版市场仿作/同类型成功作**。 **
p2_w01_deep10.md,斗破苍穹,元尊,"D1,D2,D4,D6",强,正版市场仿作/同类型成功作,**借 D1/D2/D4/D6，成功点是继续保留可视化成长表和资源争夺，但换了元纹/源气表达；强证据；**正版市场仿作/同类型成功作**。 **
p2_w01_deep10.md,斗破苍穹,万相之王,"D1,D2,D4,D6",强,正版市场仿作/同类型成功作,**借 D1/D2/D4/D6，成功点是把“异火式稀缺争夺”换成“相性/相宫”表达，读者上手仍快；强证据；**正版市场仿作/同类型成功作**。 **
p2_w01_deep10.md,斗破苍穹,绝世武神,"D1,D2,D5,D6",弱,洗稿换皮嫌疑,**借 D1/D2/D5/D6，能让老读者快速入戏，但如果只剩“受辱—升级—反踩”节拍，就容易被看成流水线玄幻；弱证据；**洗稿换皮嫌疑**风险标记。
p2_w01_deep10.md,凡人修仙传,魔天记,"D1,D3,D5,D6",强,正版市场仿作/同类型成功作,**借 D1/D3/D5/D6，成功点是继续用“底层入门+高风险修行”的凡人流视角，但把危机推进得更快；强证据；**正版市场仿作/同类型成功作**。 **
p2_w01_deep10.md,凡人修仙传,仙者,"D1,D3,D6",强,正版市场仿作/同类型成功作,**借 D1/D3/D6，成功点是继续坚持资源和成长的过程感，而不是直接上强者模板；强证据；**正版市场仿作/同类型成功作**。 **
p2_w01_deep10.md,凡人修仙传,星路仙踪,"D1,D5,D6",中,正版市场仿作/同类型成功作,**借 D1/D5/D6，成功点在于忘语自己继续沿用“普通人视角进大世界”的进入法；中证据；**正版市场仿作/同类型成功作**。 **
p2_w01_deep10.md,凡人修仙传,聚宝仙盆,"D1,D3,D6",中,正版市场仿作/同类型成功作,**借 D1/D3/D6，成功点是“凡人流、无系统、杂役弟子”这些门槛极低的解释框架全部保住，再加一个“聚宝盆复利”做新资源核心；中证据；**正版市场仿作/同类型成功作**。 **
p2_w01_deep10.md,凡人修仙传,我师兄实在太稳健了,"D6,D1",弱,正版市场仿作/同类型成功作,**借 D6，也借了一部分 D1 的“风险优先”行为逻辑；成功点是把凡人流里的风险厌恶，转成喜剧化、预案化；但它换题够多，不算直接凡人换皮；弱证据；**正版市场仿作/同类型成功作**。
p2_w01_deep10.md,斗罗大陆,斗罗大陆II绝世唐门,"D1,D2,D4,D6",强,同人/续写/衍生,**借 D1/D2/D4/D6，成功点是完整延续“武魂—魂环—学院—团队赛”框架，读者零重新学习成本；强证据；**同人/续写/衍生**。 **
p2_w01_deep10.md,斗罗大陆,斗罗大陆III龙王传说,"D1,D2,D4,D6",强,同人/续写/衍生,**借 D1/D2/D4/D6，成功点是把魂导科技接进旧体系，属于“旧框架加新赛道”；强证据；**同人/续写/衍生**。 **
p2_w01_deep10.md,斗罗大陆,斗罗大陆外传神界传说,"D1,D4,D8",强,同人/续写/衍生,**借 D1/D4/D8，成功点是把斗罗人物关系和神位棋盘继续往上抬；强证据；**同人/续写/衍生**。 **
p2_w01_deep10.md,斗罗大陆,斗罗大陆IV终极斗罗,"D1,D2,D4,D6",强,同人/续写/衍生,**借 D1/D2/D4/D6，成功点是继续用系列公共词典维持易读性；中到强证据；**同人/续写/衍生**。 **
p2_w01_deep10.md,斗罗大陆,斗罗大陆V重生唐三,"D1,D5,D8",强,同人/续写/衍生,**借 D1/D5/D8，成功点是借系列人物锚点和世界门槛，降低新大陆解释成本；强证据；**同人/续写/衍生**。
p2_w01_deep10.md,无限恐怖,王牌进化,"D2,D3,D6",中,正版市场仿作/同类型成功作,**借 D2/D3/D6，成功点是把“副本穿梭+强化结算”延续下来，再把背景换成街机世界；中证据；**正版市场仿作/同类型成功作**。 **
p2_w01_deep10.md,无限恐怖,最终进化,"D2,D3,D6",中,正版市场仿作/同类型成功作,**借 D2/D3/D6，成功点是更强调数据和智斗，把无限流往“可计算副本”推进了一步；中证据；**正版市场仿作/同类型成功作**。 **
p2_w01_deep10.md,无限恐怖,轮回乐园,"D2,D3,D6,D7",中,正版市场仿作/同类型成功作,**借 D2/D3/D6/D7，成功点是保留“签约—穿梭—任务—结算”的低解释成本，同时把个人战斗风格做得更硬；中证据；**正版市场仿作/同类型成功作**。 **
p2_w01_deep10.md,无限恐怖,地狱公寓,"D3,D7",中,正版市场仿作/同类型成功作,**借 D3/D7，成功点是把“任务生存”局限到一栋公寓，风险更集中；中证据；**正版市场仿作/同类型成功作**。 **
p2_w01_deep10.md,无限恐怖,地狱电影院,"D3,D7",中,正版市场仿作/同类型成功作,**借 D3/D7，成功点是把副本容器改成“恐怖片演员表”；中证据；**正版市场仿作/同类型成功作**。
p2_w01_deep10.md,诡秘之主,宿命之环,"D1,D2,D4,D7,D6",强,同人/续写/衍生,**借 D1/D2/D4/D7/D6，属于官方第二部，成功点就是完全复用诡秘世界公共词典，把读者重新培训成本降到最低；强证据；**同人/续写/衍生**。 **
p2_w01_deep10.md,诡秘之主,深海余烬,"D1,D4,D6",中,正版市场仿作/同类型成功作,**借 D1/D4/D6，成功点是借了神秘调查、层层揭谜和厚重氛围，但把舞台换成海上迷雾；弱到中证据；**正版市场仿作/同类型成功作**。 **
p2_w01_deep10.md,诡秘之主,黎明之剑,"D1,D4",弱,正版市场仿作/同类型成功作,**借 D1/D4，成功点是同样把复杂架空世界写得通俗，组织与文明推进比个人升级更醒目；弱证据；**正版市场仿作/同类型成功作**。 **
p2_w01_deep10.md,诡秘之主,从红月开始,"D4,D6,D7",弱,正版市场仿作/同类型成功作,**借 D4/D6/D7，成功点是保留了“调查小队+污染规则+逐层揭密”的可读性，但把神秘学换成精神污染；弱证据；**正版市场仿作/同类型成功作**。
p2_w01_deep10.md,大王饶命,第一序列,"D1,D4,D6",强,正版市场仿作/同类型成功作,**借 D1/D4/D6，成功点是保留“灾变后的新秩序”和角色嘴上不正经、骨子里有担当的爽感，但把都市灵气复苏换成废土壁垒；强证据；**正版市场仿作/同类型成功作**。 **
p2_w01_deep10.md,大王饶命,夜的命名术,"D5,D6,D7",中,正版市场仿作/同类型成功作,**借 D5/D6/D7，成功点是继续沿用“高钩子开局、强设定入局、轻快口吻”，但舞台换成赛博群穿；中证据；**正版市场仿作/同类型成功作**。 **
p2_w01_deep10.md,大王饶命,青山,D6,中,正版市场仿作/同类型成功作,**借 D6，更像是作者把“大王式人物爽感”挪到江湖叙事；题材换得较大，所以只算中证据；**正版市场仿作/同类型成功作**。 **
p2_w01_deep10.md,大王饶命,从红月开始,"D1,D6",弱,正版市场仿作/同类型成功作,**借 D1/D6，成功点是同样用现代社会突然异变去降低世界观解释成本，但把搞笑值换成惊悚值；弱证据；**正版市场仿作/同类型成功作**。
p2_w01_deep10.md,全球高武,万族之劫,"D1,D2,D4,D6",强,正版市场仿作/同类型成功作,**借 D1/D2/D4/D6，成功点是保留高数值、高资源消耗、高族群对抗，再把战场从地窟换成万族诸天；强证据；**正版市场仿作/同类型成功作**。 **
p2_w01_deep10.md,全球高武,星门,"D1,D3,D4,D6",强,正版市场仿作/同类型成功作,**借 D1/D3/D4/D6，成功点是继续沿用“个人成长绑定大世界危机”的推进法；中到强证据；**正版市场仿作/同类型成功作**。 **
p2_w01_deep10.md,全球高武,高武纪元,"D1,D2,D3,D5,D6",中,正版市场仿作/同类型成功作,**借 D1/D2/D3/D5/D6，成功点是把“现代文明+高武灾变+境界成长”重新压成面向新读者的版本；中证据；**正版市场仿作/同类型成功作**。 **
p2_w01_deep10.md,全球高武,我在精神病院学斩神,"D1,D5,D6",弱,正版市场仿作/同类型成功作,**借 D1/D5/D6，成功点在于同样从现代都市入口切入高武/神明体系，读者上手快；但它更偏神话代理与守夜人组织，不算地窟模板复刻；弱证据；**正版市场仿作/同类型成功作**。
p2_w01_deep10.md,亏成首富从游戏开始,虚拟尽头,"D5,D6",强,正版市场仿作/同类型成功作,**借 D5/D6，成功点是保留“反套路主角+游戏/虚拟产业语境”，但系统目标与世界类型明显换了；强证据；**正版市场仿作/同类型成功作**。 **
p2_w01_deep10.md,亏成首富从游戏开始,当我写了个BUG却变成核心玩法,"D5,D6",强,正版市场仿作/同类型成功作,**借 D5/D6，成功点是把“反向成功”从亏钱系统改成 BUG 被市场误读，行业理解仍然在线；强证据；**正版市场仿作/同类型成功作**。 **
p2_w01_deep10.md,亏成首富从游戏开始,说好制作烂游戏，泰坦陨落什么鬼,"D5,D6",中,正版市场仿作/同类型成功作,**借 D5/D6，成功点是直接把“故意做烂—结果爆火”的结构翻成游戏制作文；但贴脸度已经很高；中证据；**正版市场仿作/同类型成功作**。 **
p2_w01_deep10.md,亏成首富从游戏开始,让你制作烂游戏，杀戮尖塔什么鬼,"D5,D6",弱,洗稿换皮嫌疑,**借 D5/D6，标题和钩子都高度近似，风险在于如果只剩“烂游戏结果爆火”这一反转，就很容易变成换皮；弱证据；**洗稿换皮嫌疑**。
p2_w01_deep10.md,我师兄实在太稳健了,这个人仙太过正经,"D1,D4,D6",强,正版市场仿作/同类型成功作,**借 D1/D4/D6，成功点是继续走“东方神话大背景+高智/轻喜剧”路线，但不再把“稳健”写成唯一性格；强证据；**正版市场仿作/同类型成功作**。 **
p2_w01_deep10.md,我师兄实在太稳健了,天庭最后一个大佬,"D1,D4,D6",强,正版市场仿作/同类型成功作,**借 D1/D4/D6，成功点是继续沿用熟悉神话势力盘和轻松语气；强证据；**正版市场仿作/同类型成功作**。 **
p2_w01_deep10.md,我师兄实在太稳健了,稳健流修仙,D6,弱,洗稿换皮嫌疑,**借 D6，但标题就把借用意图写在脸上，如果正文没有新风险系统，换皮感会非常强；弱证据；**洗稿换皮嫌疑**。 **
