source_report,track,list_section,title,author,one_liner,platform,a_heat,b_prototype,skeleton_fingerprint,evidence,ingested_at
p1_batch01_hotlist.md,ST-002,candidate,飘渺之旅,萧潜,后人最常借的是“修真有层级、法宝有谱系、宗门有地图、飞升有远景”的整套修真说明书。,其他／早期网络连载,高,高,修真层级＋法宝宗门＋飞升路,中国作家网把它列为绕不开的网络仙侠起点；长期被并称“网文三大奇书”。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,诛仙,萧鼎,常被借的是“古典仙侠门派格局＋情劫主轴＋正邪对照”，不是纯升级表，而是“仙侠像武侠一样讲情”。,幻剑书盟／起点候选,高,高,门派仙侠＋情劫主轴,中国作家网把它与《飘渺之旅》并列为网络仙侠关键起点；起点修订版书页。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,佛本是道,梦入神机,最常被借的是“封神神话重排＋洪荒圣人谱系＋先天灵宝/气运位格”的洪荒世界观骨架。,起点／其他候选,高,高,洪荒圣人谱系＋封神重排,起点书页；社区/问答长期把它点为洪荒流开山作。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,凡人修仙传,忘语,后人最爱借的是“资质平平也能修仙”的凡人流生存逻辑、资源焦虑和谨慎升级路线。,起点,高,高,凡人流＋资源焦虑修仙,中国作家网明确称其开创“凡人流”；起点官方书页。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,无限恐怖,zhttty,常被借的是“主神空间＋电影副本轮转＋队伍养成＋奖励兑换”的无限流底盘。,起点,高,高,主神空间＋电影副本链,中国作家网把它定为无限流开山作；起点官方书页。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,王牌进化,卷土,它被拿来当模板借的不是“无限”本身，而是“数据化副本、数值化强化、可计算成长”的数据无限流。,起点,中,高,数据无限流＋数值强化,中国作家网明确把它列为数据无限流代表；起点书页。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,斗破苍穹,天蚕土豆,后人反复借的是“退婚羞辱开局＋废柴逆袭＋清晰等级表＋换地图打怪”的爽文发动机。,起点,高,高,退婚废柴＋等级表＋换地图,中国作家网明确说它把退婚/废柴模板推到流行中心；起点官方书页。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,斗罗大陆,唐家三少,最常被借的是“武魂—魂环—学院赛—魂兽—宗门帝国”的整套可视化升级与势力关系。,起点,高,高,武魂体系＋学院赛道,中国作家网把它写成“武魂模式”的典型；起点官方书页。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,龙蛇演义,梦入神机,后来者最常借的是“现代都市里讲国术真打＋境界断代＋拳脚对枪炮”的国术流骨架。,起点,高,高,国术真打＋现代火器对撞,百度百科/中国作家网系材料与知乎盘点都把它指为国术流开山作。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,盘龙,我吃西红柿,常被借的是“线性升级＋位面飞升＋法则领悟＋主神体系”的中式西幻升级框。,起点,高,高,位面升级＋法则主神路,中国作家网把它当“升级流”范本来评；另有评论点明其多位面和元素法则世界。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,全职高手,蝴蝶蓝,最常被借的是“职业赛场＋退役/驱逐开局＋网吧重开号＋战队重建”的电竞职业流。,起点,高,高,职业电竞＋小号重开号,中国作家网明确说2011年后“电竞文”概念流行起来；起点官方书页。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,放开那个女巫,二目,后人最常借的是“西幻领主地盘＋现代工业常识＋女巫能力模块化分工”的基建种田结构。,起点,高,高,西幻领地＋工业化种田,中国作家网直接称其为西幻种田流破局者；起点与同人检索能看到后续衍生。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,诡秘之主,爱潜水的乌贼,后人最常借的是“序列途径＋魔药扮演法＋组织博弈＋蒸汽克系氛围”的低解释成本超凡框架。,起点,高,高,序列途径＋扮演法＋塔罗会,评论明确点它开出22条神之序列；起点/书单可见大量同人、if线与同序列再创作。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,修真聊天群,圣骑士的传说,它被反复借的核心是“现代日常＋聊天群载体＋修真设定轻量化”这套超低进入门槛。,起点,高,高,聊天群修仙＋日常爆梗,起点书页；站内同人检索能直接看到“霸宋宇宙”续写感。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,我师兄实在太稳健了,言归正传,最常被借的是“洪荒背景下反常规求稳、预案流、算计流”的稳健流修仙。,起点,高,高,稳健流＋洪荒预案体系,中国作家网把它当“修仙套路变体”新范式；起点同人检索能看到直接模仿“师兄稳健”。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,梦回大清,金子,后人最常借的是“清穿开局即历史人物关系网、女主代入皇子夺嫡”的低解释成本。,晋江,高,高,清穿先行作＋夺嫡代入,中国作家网明确说它让清穿古言一炮而红；晋江原书页。,2026-07-18T13:17:54+08:00
