title,window,author,platform,reasons,status,queued_at
仙灵妖神记,w02,紫薇大帝,起点中文网,缺官方简介,resolved_pinned,2026-07-18
他从天外归来,w02,最后的茄子,起点中文网,缺官方简介;置信低;需认亲,resolved_pinned,2026-07-18
仙子，请听我解释,w02,弥天大厦,起点中文网,需认亲,resolved_pinned,2026-07-18
亮剑：从得到装备栏开始,w02,作者未知,没找到可靠原发平台页,没找到;缺官方简介;置信低,resolved_pinned,2026-07-18
亮剑：蓝星工业杀疯了,w02,作者未知,没找到可靠原发平台页,没找到;缺官方简介;置信低,resolved_pinned,2026-07-18
修仙百年，前任都成了天命之女,w03,中,平台与作者本轮未抓稳,没找到;缺官方简介,resolved_pinned,2026-07-18
修仙，我能穿越异世界,w03,中,平台与作者本轮未抓稳,没找到;缺官方简介,resolved_pinned,2026-07-18
倾城欢,w03,作者未稳定位,平台未稳定位,缺官方简介;置信低,resolved_pinned,2026-07-18
傻柱重生四合院：从敲闷棍开始,w03,作者未稳定位,平台未稳定位,缺官方简介;置信低;需认亲,resolved_dead,2026-07-18
公安局长之扫黑风暴,w03,作者痕迹多指向南至,平台未稳定位,缺官方简介;置信低,resolved_dead,2026-07-18
兵者,w03,中,作者大概率为七品，平台本轮未抓稳,没找到;缺官方简介;需认亲,resolved_pinned,2026-07-18
养尸为祸,w03,作者未知,平台未知,没找到;缺官方简介;置信低,resolved_pinned,2026-07-18
凌霄仙族,w03,中,作者多指向迷糊小神通，但起点更常见题名为《从炼气家族到凌霄仙族》,需认亲,resolved_pinned,2026-07-18
刚成老祖逼我赴死，我道果归一了,w03,作者未知,平台未知,缺官方简介;置信低;需认亲,still_open,2026-07-18
嘉豪就变强？操场雨中舞剑开天门,w04,落叶之刃／大大大大大大怪／给我一个大汉堡,番茄小说／QQ阅读公开页／起点近名页,置信低,resolved_pinned,2026-07-18
嘿，妖道,w04,我是瞎混的,书单题名与官方现名存在冲突；高概率对应起点中文网《龙虎道主》,缺官方简介;置信低;需认亲,resolved_pinned,2026-07-18
觉醒神通后，妖魔皆薪柴,w05,目前最接近的是起点《荡尽妖魔我为仙》，其官方文案里出现“觉醒神通后，妖魔皆薪柴！”这一句，疑似宣传句被误当书名，需认亲。,未检到与该题名完全一致的可靠独立书页；中低,置信中低;需认亲,resolved_pinned,2026-07-18
王者之开局加入长城守卫军,w05,公开检索未见与该题名完全一致、可稳定落到原发平台的书页；只检到《王者荣耀》游戏官方信息，不能拿来冒充小说证据。,没找到,没找到;缺官方简介,resolved_pinned,2026-07-18
重生空间八零,w05,未检到与该四字短题名完全一致的稳定原发书页；公开检索只见多个近似题名，如《重生空间八零小媳妇》《重生空间：八零娇娇女》等，存在明显题名缩写/混写风险。,中低,置信中低,still_open,2026-07-18
重生之星际影,w05,未检到与该题名完全一致的可靠原发书页，公开只在番茄站点地图和第三方列表中看到“重生之星际影后/重生之星际影……”的近似信息，无法锁死正式题名。,没找到,没找到;缺官方简介,resolved_dead,2026-07-18
穿越网王之网球公主,w05,中低,作者花樱明月,缺官方简介;置信中低,resolved_pinned,2026-07-18
中华联邦之帝国再起,w05,中低,作者铁骑洪流,缺官方简介;置信中低;需认亲,resolved_pinned,2026-07-18
清穿之妾室守则,w05,中低,作者随风轻舞,置信中低;需认亲,resolved_pinned,2026-07-18
