id,title,source_kind,url_or_ref,author_or_account,one_liner,topic_tags,product_angle,status,item_path,added_on,notes
SI-001,awesome-ai-media-cn,github,https://github.com/JuneYaooo/awesome-ai-media-cn,JuneYaooo,AI视频制作与自媒体运营工具精选合集（文生视频/分发/字幕等）,ai_tool;媒体制作;自媒体运营;文生视频;字幕,媒体制作链;作者工作台;未定,tagged,items/SI-001_awesome-ai-media-cn.md,2026-07-18,CZ点名；先攒批不上Notion
SI-002,T5 R04 事实抽取外部调查知识包,other,packages/T5_R04_FACT_EXTRACTION_RESEARCH_RETURNS_20260811_R01/00_READ_ME_FIRST.md,CZ与多轮外部调查,46个问题或历史主题与58份回包的长期本地索引和消化账,事实抽取;Prompt;LoRA;SFT;小说切块;上下文;统计评测;few-shot;教材;多步API;独立验真,试验示范;作者工作台,used,items/SI-002_T5_R04_fact_extraction_research.md,2026-08-11,58份报告SHA唯一；DISCRIM17方法回包保持顾问身份；外部建议不产生执行权
SI-003,产品架构九题外部调查知识包,other,packages/PRODUCT_ARCHITECTURE_RESEARCH_RETURNS_20260809_R01/00_READ_ME_FIRST.md,CZ与九个外部调查窗口,九个产品架构问题与九份完整回包的长期本地索引和消化稿,分层记忆;下游承接;读者体验;长程一致性;4B;Mini;AgentMemory;因果图;剧情API,作者工作台;产品架构;试验示范,used,items/SI-003_product_architecture_research_returns.md,2026-08-11,九份报告逐字节保存；外部建议不产生执行权
SI-004,Manus × R06 云端调研（评测＋竞品）,other,packages/MANUS_R06_CLOUD_RESEARCH_20260812_R01/00_READ_ME_FIRST.md,Manus云端对照R06,两份云端调研全文：事实抽取评测做法与AI写作Agent竞品拆解,事实抽取;评测;格式门;事实门;竞品;写作Agent;大纲工具;长篇记忆;Manus,试验示范;作者工作台;产品架构,tagged,items/SI-004_manus_r06_cloud_research.md,2026-08-12,仅T1+T3入包；T2/T4仍在TEMP；外部候选先验不产生执行权
SI-005,四份需求发现外部调查回包,other,packages/DEMAND_DISCOVERY_RESEARCH_RETURNS_20260812_R01/00_READ_ME_FIRST.md,ChatGPT,四份需求调查全文：长篇作者事实账、作者与读者故事消费、AI视频短剧生产、结构化故事引擎需求地图,需求发现;长篇作者;互动故事;读者;AI视频;短剧;改编交接;故事状态;事实账;付费先验,作者工作台;读者体验;媒体制作链;产品架构;需求验证,tagged,items/SI-005_demand_discovery_research_returns.md,2026-08-13,历史外部调查证据与候选先验；四份原字节归档；不产生产品结论、执行权、训练权或Notion拍板
SI-006,八份产品设计外部调查回包,other,packages/PRODUCT_DESIGN_RESEARCH_RETURNS_20260813_R01/00_READ_ME_FIRST.md,ChatGPT,八份产品设计调查全文：形态平台策略、难度分档、输入分诊、onboarding、日常轨迹渐进授权、视觉资产发布、计费方案、护城河插件生态,产品形态;MCP;CLI;难度分档;输入分诊;onboarding;渐进授权;视觉资产;动态漫;计费;BYOK;护城河;插件生态;私密创作,产品架构;作者工作台;媒体制作链;需求验证;商业化,tagged,items/SI-006_product_design_research_returns.md,2026-08-13,历史外部调查证据与候选先验；八份原字节归档双源SHA对平；不产生产品结论、执行权、训练权或Notion拍板
SI-007,第三轮回包：设计审查＋佐证＋技术空白（15份）,other,packages/DESIGN_REVIEW_AND_TECH_RESEARCH_RETURNS_20260813_R01/00_READ_ME_FIRST.md,ChatGPT,第三轮15份回包：三份带附件设计审查（日常循环/账本体系/插件生态）＋方法论地图/作者工作流/失败案例佐证＋插画/前端/记忆/抽取/合规/叙事引擎/心理标签/LLM审计/行业七份技术空白,设计审查;方法论;爽点;伏笔;工作流;失败案例;SVG插画;画布前端;结构化记忆;长上下文;抽取SOTA;AI检测;平台政策;叙事引擎;心理学标签;LLM-as-judge;行业图景,作者工作台;产品架构;试验示范;媒体制作链;商业化,tagged,items/SI-007_design_review_and_tech_research_returns.md,2026-08-13,历史外部调查证据与候选先验；审查意见与已拍口径冲突时按CZ拍板优先逐条裁决；不产生产品结论、执行权、训练权或Notion拍板
SI-008,七份Agent工具与管线调查回包,other,packages/AGENT_TOOLS_PIPELINE_RESEARCH_RETURNS_20260814_R01/00_READ_ME_FIRST.md,ChatGPT,七份回包：工具菜单/管线游标/双通道/执行包编译/生成前守卫/触发器外壳/画布指示器,Agent工具;MCP;管线游标;双通道;执行包;RAG;生成前检查;触发器;Hook;义务;画布指示器;停点,作者工作台;产品架构,tagged,items/SI-008_agent_tools_pipeline_research_returns.md,2026-08-14,历史外部调查证据与候选先验；七份原字节归档；未收入Downloads里未点名的故事内触发器长文；不产生产品结论、执行权、训练权或Notion拍板
SI-009,十份大纲与账本承重调查回包,other,packages/OUTLINE_LOADBEARING_RESEARCH_RETURNS_20260814_R01/00_READ_ME_FIRST.md,ChatGPT,十份回包：实体户口/上下游承接/技法承重/未来件分家/篮子歧义/大纲粒度/建表层数/真值切换/拆书复用/开表资格,大纲;规划账;实体户口;指针;章纲;写法;伏笔;灵感;粒度;数据表;真值;拆书;知情,作者工作台;产品架构,tagged,items/SI-009_outline_loadbearing_research_returns.md,2026-08-14,历史外部调查证据与候选先验；十份原字节归档；本轮只登记不通读消化；不产生产品结论、执行权、训练权或Notion拍板
SI-010,五份账本咬合与未决题调查回包,other,packages/LEDGER_BITE_RESEARCH_RETURNS_20260814_R01/00_READ_ME_FIRST.md,ChatGPT,五份回包：公共门牌同构/关系同一类边/跨账现算stale/规则拆条ADD-043/读者承诺ADD-044,门牌;实体登记;关系边;现算;stale;规则;设定集;读者承诺;伏笔,作者工作台;产品架构,tagged,items/SI-010_ledger_bite_research_returns.md,2026-08-14,历史外部调查证据与候选先验；五份原字节归档；前三份加固已拍038-042字段不拍死；043/044消化后仍交CZ拍；不产生产品结论、执行权、训练权或Notion拍板
