window,track,title,platform,author,identity_confidence,evidence_urls,channel_raw,coarse_genre,official_blurb,reader_synopsis,trope_tags,one_liner,name_conflict,not_found,corpus_folder_ptr,ledger_kind,origin,authority,source_report,ingested_at
w01,ST-001,1979从湘西大山走出来的文豪,起点中文网,叁更兽,高,证据：起点书页、QQ阅读页。,,页面频道原文“都市小说”“都市生活”｜我归纳：改革开放早期的年代文豪成长文。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,年代文｜标题与简介都把时间点钉在 1979 年｜高；文豪流｜题名直指“走出来的文豪”，且简介强调以笔改写现实｜高；乡土书写｜标题和简介都把“湘西大山”当核心出身背景｜高；记忆金手指｜简介出现“那份记忆正在苏醒”｜中。,从湘西山里起笔，把个人命运和时代文运绑在一起写。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,1984：从破产川菜馆开始,起点中文网,名窑,高,证据：起点书页、QQ阅读页。,,页面频道原文“都市小说”“都市生活”｜我归纳：八十年代美食经营创业文。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,重生｜书名与简介都明确写“重生 1984”｜高；美食经营｜开局就是接盘“破产川菜馆”｜高；年代种田｜官方检索页出现“年代文、美食、日常、种田”｜高；慢节奏日常｜官方标签里有“日常”｜高。,拿一家快倒的川菜馆，把 1984 的烟火气重新做热。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,1985：开局大雪封门,起点中文网,别惹大鹅,高,证据：起点书页、起点在线阅读聚合页。,,页面频道原文“都市小说”“都市生活”｜我归纳：东北寒冬开局的小人物年代文。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,年代文｜题名直接锚定 1985｜高；无系统｜官方简介直接写“无系统”｜高；慢节奏｜官方简介直接写“慢节奏”｜高；小人物翻身｜官方简介直接写“小人物翻身”｜高；乡土日常｜“大雪封门”的生活场景感很强，且官方强调接地气｜高。,大雪一封门，先把年景写冷，再把日子一点点熬热。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,1997：罪案追凶,起点中文网,姜煮茶,高,证据：起点书页、QQ阅读版权页。,,页面频道原文“都市小说”“都市生活”｜我归纳：重返 1997 年追旧案的重生刑侦文。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,重生｜简介明确写“重生回到 1997 年”｜高；刑侦破案｜书名就是“罪案追凶”｜高；年代悬疑｜文案反复强调“97 年夏天、暴雨、碎尸案”｜高；旧案翻案｜主角面对的是二十多年前的旧案现场｜高。,带着后见之明回到暴雨碎尸案发生前，抢时间抓真凶。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,50年代：从一枚储物戒开始,起点中文网,菲力亲王,高,证据：起点书页、QQ阅读页。,,页面频道原文“都市小说”“都市生活”｜我归纳：五十年代背景的空间求生文。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,穿越｜简介直接写“穿越 50 年代”｜高；空间流｜题名与简介都指向“储物戒”“一立方米空间”｜高；年代求生｜主角一落地就先解决生存与资源问题｜高；开荒囤物｜储物戒设定天然服务于物资积累和早期发展｜中。,空间不大，但在物资紧的年代，刚好能撬动命运。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,LOL：重生S3，调教全联盟,起点中文网,青石离,高,证据：起点书页、QQ阅读页。,,页面频道原文“游戏小说”“电子竞技”｜我归纳：回到 S3 的 LOL 电竞文。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,重生｜题名直接写“重生 S3”｜高；LOL 电竞｜频道就是电子竞技，题名直接挂 LOL｜高；远古赛季流｜S3 本身就是老联盟怀旧节点｜高；联盟调教流｜标题直接写“调教全联盟”｜高。,把玩家最怀念的 S3，写成一场从版本到选手都能重做的联盟实验。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,NBA百世书：开局穿越大魔王,QQ阅读,园中有竹,中,证据：QQ阅读页、QQ阅读目录页。 当前能核验到的是腾讯系官方阅读页，未单独搜到更清晰的首发书页。,,页面频道原文“体育”“篮球运动”｜我归纳：带多周目设定的 NBA 篮球文。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,穿越｜标题直接写“开局穿越”｜高；篮球竞技｜频道就是篮球运动｜高；多周目｜文案出现“百世书”“开启第二世”｜高；碰瓷搞笑流｜官方简介里直接写“奥尼尔被我碰瓷”｜高。,不只打球，还把“投胎重开”这套机制拿来刷 NBA 生涯。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,NBA：到来，见证，征服,起点中文网,一万受,高,证据：起点书页、QQ阅读页。,,页面频道原文“体育小说”“篮球运动”｜我归纳：从 NCAA 起步、一路冲向王朝的篮球文。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,重生｜文案写“重生 2003”｜高；篮球竞技｜频道明确是篮球运动｜高；NCAA 起步｜官方简介点名“从佛州大学 NCAA 起步”｜高；王朝流｜文案写“最终缔造一个王朝”｜高。,先在大学篮球打出底子，再一路把王朝梦砸进 NBA。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,Z世代艺术家,起点中文网,起酥面包,高,证据：起点书页、QQ阅读页。,,页面频道原文“都市小说”“娱乐明星”｜我归纳：重生 1998、站在文艺圈里开炮的华娱文。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,重生｜官方简介直接写“重生到 1998 年”｜高；华娱文艺圈｜频道是娱乐明星，主角定位为艺术家｜高；时代批判｜文案写“对这个时代没有滤镜”“揭竿而起”｜高；文艺青年流｜题名与文案都明显偏艺术表达而非纯流量爽点｜高。,不是回去迎合时代，而是回去跟整个文艺圈狠狠干架。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,一世之尊,起点中文网,爱潜水的乌贼,高,证据：起点书页。,,页面频道原文“玄幻小说”｜我归纳：大世界观、强主线、一路证道的长篇玄幻。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,升级证道流｜官方文案强调“与天争命”“横压当世”｜高；大世界神话向｜书评普遍强调“世界观宏大、设定吸引人”｜中；主线硬推进｜文案口气就是一路向上、不问前尘来世的强目标型叙事｜中。,靠极强主线和大设定，把“我命由我争出来”写到极限。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
