书名,章号,原表文件,切片数据行号,原表行号,evidence_id,fact_id,审阅行键,来源位置_沿用未核原文,结论,一句理由,审阅身份
炼气士不死于无限,1,lianqishi/01_落位表.csv,1,,LQ-0001,,LQ-0001,ch_0001.txt:L8,keep_as_fact,记录醒来时实际所处的地点，雾霭只是定位场景，不是单独凑气氛。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,2,,LQ-0002,,LQ-0002,ch_0001.txt:L10,keep_as_fact,这一行把血统作为已有身份设定陈述，没有猜测或未来条件。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,3,,LQ-0003,,LQ-0003,ch_0001.txt:L14,keep_as_fact,记录人物既有身世，属于背景事实候选。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,4,,LQ-0004,,LQ-0004,ch_0001.txt:L14,keep_as_fact,收养和收徒都按过去已发生的关系事件陈述，离屏不等于传闻。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,5,,LQ-0005,,LQ-0005,ch_0001.txt:L16,keep_as_fact,记录物品过去的取得经历，不是准备获取的目标。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,6,,LQ-0006,,LQ-0006,ch_0001.txt:L16,keep_as_fact,记录已经发生的传授与转交，不因落在多本账而排除。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,7,,LQ-0007,,LQ-0007,ch_0001.txt:L17,keep_as_fact,死亡及当时年龄都有明确过去时点，属于人物经历候选。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,8,,LQ-0008,,LQ-0008,ch_0001.txt:L17,keep_as_fact,料理后事和守孝是已做过的事，不是对人物孝顺与否的评价。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,9,,LQ-0009,,LQ-0009,ch_0001.txt:L18,keep_as_fact,这一行陈述作品中的境界划分，既定规则也属于事实候选。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,10,,LQ-0010,,LQ-0010,ch_0001.txt:L19,keep_as_fact,记录当前修为状态，没有把将来的突破写成已经完成。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,11,,LQ-0011,,LQ-0011,ch_0001.txt:L20,keep_as_fact,记录当前年龄，是明确的人物状态。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,12,,LQ-0012,,LQ-0012,ch_0001.txt:L21,keep_as_fact,已经开始准备是发生过的行动，但这行没有证明突破成功。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,13,,LQ-0013,,LQ-0013,ch_0001.txt:L24,keep_as_fact,记录一次实际作答，保留的是回应行为。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,14,,LQ-0014,,LQ-0014,ch_0001.txt:L25,keep_as_fact,记录回答后的跨界转移，没有额外断言回答必然触发转移的普遍规则。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,15,,LQ-0015,,LQ-0015,ch_0001.txt:L26,keep_as_fact,记录面板实际出现，是可定位的场景事件。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,16,,LQ-0016,,LQ-0016,ch_0001.txt:L28,keep_as_fact,保留面板显示的等级这一读数，不把它扩成独立核实的实力结论。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,17,,LQ-0017,,LQ-0017,ch_0001.txt:L30,mark_hearsay,世界历史来自面板介绍，不能直接当成已核实的旁白事实。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,18,,LQ-0018,,LQ-0018,ch_0001.txt:L31,mark_hearsay,企业统治手段来自面板说明，这行没有独立事件证实其内容。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,19,,LQ-0019,,LQ-0019,ch_0001.txt:L32,mark_hearsay,总部地点来自面板介绍，来源不能在落成地点事实时消失。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,20,,LQ-0020,,LQ-0020,ch_0001.txt:L35,keep_as_fact,任务已经发布，发布行为本身属于发生过的事。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,21,,LQ-0021,,LQ-0021,ch_0001.txt:L36,keep_as_fact,保留已发布任务的要求，不表示人物已经完成生存时限。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,22,,LQ-0022,,LQ-0022,ch_0001.txt:L36,keep_as_fact,保留任务公布的禁区与处罚条件，不表示已经越界或受罚。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,23,,LQ-0023,,LQ-0023,ch_0001.txt:L38,keep_as_fact,保留任务列出的条件奖励，不表示奖励已经到账。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,24,,LQ-0024,,LQ-0024,ch_0001.txt:L39,keep_as_fact,翻译功能按已经开启陈述，属于当前可用状态候选。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,25,,LQ-0025,,LQ-0025,ch_0001.txt:L41,keep_as_fact,保留人物这次自检未见异常的结果，不扩大为任何异常都不存在。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,26,,LQ-0026,,LQ-0026,ch_0001.txt:L43,keep_as_fact,这一行以既定机制陈述征召与派遣方式，不是某次任务完成记录。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,27,,LQ-0027,,LQ-0027,ch_0001.txt:L44,keep_as_fact,这一行陈述平台已有功能，属于规则或设施状态候选。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,28,,LQ-0028,,LQ-0028,ch_0001.txt:L67,keep_as_fact,记录城区上方的具体设施及位置，不只是气氛描写。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,29,,LQ-0029,,LQ-0029,ch_0001.txt:L69,keep_as_fact,记录城区产业设施和运行状态，有具体地点与对象。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,30,,LQ-0030,,LQ-0030,ch_0001.txt:L72,mark_hearsay,城市归属是松酒的认识，不能因账本标成知道就当成已核实产权。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,31,,LQ-0031,,LQ-0031,ch_0001.txt:L78,keep_as_fact,这一行直接给出人物年龄，没有附带推测口气。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,32,,LQ-0032,,LQ-0032,ch_0001.txt:L78,cannot_confirm_without_body,附注说明意图是从目光和行为推出来的，缺正文无法确认这项动机。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,33,,LQ-0033,,LQ-0033,ch_0001.txt:L88,keep_as_fact,保留已经发生的威胁行为，威胁中自称知道住址不另获事实背书。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,34,,LQ-0034,,LQ-0034,ch_0001.txt:L90,keep_as_fact,这一行直接陈述已有组织挂靠关系，没有转述或猜测标记。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,35,,LQ-0035,,LQ-0035,ch_0001.txt:L106,keep_as_fact,记录出手及对方被击飞的实际结果。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,1,lianqishi/01_落位表.csv,36,,LQ-0036,,LQ-0036,ch_0001.txt:L109,keep_as_fact,记录当场发出的交谈请求，不表示对方已答应或谈话已完成。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/01_落位表.csv,37,,LQ-0037,,LQ-0037,ch_0002.txt:L6,keep_as_fact,记录松酒当时没看清动作的观察局限，不把不知道补成知道。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/01_落位表.csv,38,,LQ-0038,,LQ-0038,ch_0002.txt:L13,keep_as_fact,保留这次义眼扫描所得结果，不扩成任何检测都不会发现植入物。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/01_落位表.csv,39,,LQ-0039,,LQ-0039,ch_0002.txt:L15,keep_as_fact,记录已经发起的攻击，不是战斗意图或能力评价。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/01_落位表.csv,40,,LQ-0040,,LQ-0040,ch_0002.txt:L18,keep_as_fact,记录实际施出的动作及可见表现。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/01_落位表.csv,41,,LQ-0041,,LQ-0041,ch_0002.txt:L20,keep_as_fact,记录攻击造成的义肢损毁，是事件及直接状态变化。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/01_落位表.csv,42,,LQ-0042,,LQ-0042,ch_0002.txt:L23,keep_as_fact,停止冲突和离开都有实际行为，不是只说打算逃跑。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/01_落位表.csv,43,,LQ-0043,,LQ-0043,ch_0002.txt:L25,mark_hearsay,这行的组织关系来自松酒转述，不能把转述标签省掉。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/01_落位表.csv,44,,LQ-0044,,LQ-0044,ch_0002.txt:L25,drop_not_for_card,只是提议带人躲避，候选本行没有记载带离已经发生。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/01_落位表.csv,45,,LQ-0045,,LQ-0045,ch_0002.txt:L28,mark_hearsay,年龄在这行是闻业的估计，别把估计写成精确确认。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/01_落位表.csv,46,,LQ-0046,,LQ-0046,ch_0002.txt:L30,keep_as_fact,记录当时具体穿着，属于可见的人物状态。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/01_落位表.csv,47,,LQ-0047,,LQ-0047,ch_0002.txt:L37,keep_as_fact,保留闻业当次识别义眼的观察结果，不推导其他植入情况。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/01_落位表.csv,48,,LQ-0048,,LQ-0048,ch_0002.txt:L40,keep_as_fact,只记录没有明显植入的外观范围，不等于体内绝无其他植入。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/01_落位表.csv,49,,LQ-0049,,LQ-0049,ch_0002.txt:L43,mark_hearsay,攻击手段是松酒的理解，不能把她的黑客解释当作真实攻击机制。,人话卡金标候选｜未独立人工复核
